time,x,y,vx,vy
0.000000000000000000e+00,0.000000000000000000e+00,9.832899999999999974e-01,-6.773251395529817045e+07,0.000000000000000000e+00
1.411160287172038841e-01,-6.389133278345099864e-05,9.832899976461675351e-01,-6.773251379315781593e+07,-4.990692025118351012e+03
2.822320574344077682e-01,-1.277826652610116202e-04,9.832899905846704813e-01,-6.773251330673676729e+07,-9.981384035560655320e+03
4.233480861516116800e-01,-1.916739971267914064e-04,9.832899788155087251e-01,-6.773251249603502452e+07,-1.497207601665086258e+04
5.644641148688155363e-01,-2.555653280748999530e-04,9.832899623386823773e-01,-6.773251136105258763e+07,-1.996276795371291882e+04
7.055801435860193926e-01,-3.194566577994468830e-04,9.832899411541913270e-01,-6.773250990178945661e+07,-2.495345983207077734e+04
8.466961723032233600e-01,-3.833479859945419007e-04,9.832899152620357963e-01,-6.773250811824561656e+07,-2.994415163704839142e+04
9.878122010204272163e-01,-4.472393123542944392e-04,9.832898846622158961e-01,-6.773250601042108238e+07,-3.493484335396969982e+04
1.128928229737631073e+00,-5.111306365728141487e-04,9.832898493547315155e-01,-6.773250357831583917e+07,-3.992553496815865219e+04
1.270044258454835040e+00,-5.750219583442107334e-04,9.832898093395828765e-01,-6.773250082192990184e+07,-4.491622646493920911e+04
1.411160287172038785e+00,-6.389132773625935723e-04,9.832897646167702010e-01,-6.773249774126325548e+07,-4.990691782963529113e+04
1.552276315889242753e+00,-7.028045933220723697e-04,9.832897151862934892e-01,-6.773249433631590009e+07,-5.489760904757086246e+04
1.693392344606446720e+00,-7.666959059167567214e-04,9.832896610481529631e-01,-6.773249060708783567e+07,-5.988830010406986548e+04
1.834508373323650465e+00,-8.305872148407561148e-04,9.832896022023485116e-01,-6.773248655357906222e+07,-6.487899098445622076e+04
1.975624402040854433e+00,-8.944785197881803627e-04,9.832895386488806899e-01,-6.773248217578956485e+07,-6.986968167405389249e+04
2.116740430758058178e+00,-9.583698204531387356e-04,9.832894703877494980e-01,-6.773247747371934354e+07,-7.486037215818680124e+04
2.257856459475262145e+00,-1.022261116529740938e-03,9.832893974189552688e-01,-6.773247244736839831e+07,-7.985106242217890394e+04
2.398972488192466113e+00,-1.086152407712096674e-03,9.832893197424978915e-01,-6.773246709673672915e+07,-8.484175245135411387e+04
2.540088516909670080e+00,-1.150043693694315430e-03,9.832892373583780321e-01,-6.773246142182433605e+07,-8.983244223103637341e+04
2.681204545626873603e+00,-1.213934974170506696e-03,9.832891502665955796e-01,-6.773245542263120413e+07,-9.482313174654958129e+04
2.822320574344077571e+00,-1.277826248834780173e-03,9.832890584671507561e-01,-6.773244909915733337e+07,-9.981382098321770900e+04
2.963436603061281538e+00,-1.341717517381245351e-03,9.832889619600443387e-01,-6.773244245140272379e+07,-1.048045099263646698e+05
3.104552631778485505e+00,-1.405608779504011717e-03,9.832888607452759944e-01,-6.773243547936736047e+07,-1.097951985613143770e+05
3.245668660495689473e+00,-1.469500034897188757e-03,9.832887548228465002e-01,-6.773242818305124342e+07,-1.147858868733907439e+05
3.386784689212893440e+00,-1.533391283254886177e-03,9.832886441927557453e-01,-6.773242056245435774e+07,-1.197765748479176837e+05
3.527900717930096963e+00,-1.597282524271213247e-03,9.832885288550045066e-01,-6.773241261757670343e+07,-1.247672624702190951e+05
3.669016746647300931e+00,-1.661173757640279670e-03,9.832884088095928954e-01,-6.773240434841828048e+07,-1.297579497256189206e+05
3.810132775364504898e+00,-1.725064983056195152e-03,9.832882840565211335e-01,-6.773239575497907400e+07,-1.347486365994410589e+05
3.951248804081708865e+00,-1.788956200213069180e-03,9.832881545957897762e-01,-6.773238683725908399e+07,-1.397393230770093796e+05
4.092364832798912389e+00,-1.852847408805010591e-03,9.832880204273990454e-01,-6.773237759525831044e+07,-1.447300091436477960e+05
4.233480861516116356e+00,-1.916738608526130172e-03,9.832878815513494963e-01,-6.773236802897673845e+07,-1.497206947846802068e+05
4.374596890233320323e+00,-1.980629799070536545e-03,9.832877379676414620e-01,-6.773235813841435313e+07,-1.547113799854305107e+05
4.515712918950524291e+00,-2.044520980132338763e-03,9.832875896762753865e-01,-6.773234792357115448e+07,-1.597020647312225774e+05
4.656828947667728258e+00,-2.108412151405647614e-03,9.832874366772518249e-01,-6.773233738444714248e+07,-1.646927490073802765e+05
4.797944976384932225e+00,-2.172303312584571502e-03,9.832872789705708882e-01,-6.773232652104230225e+07,-1.696834327992275066e+05
4.939061005102136193e+00,-2.236194463363220131e-03,9.832871165562332427e-01,-6.773231533335661888e+07,-1.746741160920881084e+05
5.080177033819340160e+00,-2.300085603435703206e-03,9.832869494342395544e-01,-6.773230382139009237e+07,-1.796647988712859806e+05
5.221293062536544127e+00,-2.363976732496130429e-03,9.832867776045900454e-01,-6.773229198514270782e+07,-1.846554811221449636e+05
5.362409091253747206e+00,-2.427867850238609772e-03,9.832866010672853818e-01,-6.773227982461446524e+07,-1.896461628299888980e+05
5.503525119970951174e+00,-2.491758956357252672e-03,9.832864198223258967e-01,-6.773226733980534971e+07,-1.946368439801416826e+05
5.644641148688155141e+00,-2.555650050546167534e-03,9.832862338697123672e-01,-6.773225453071534634e+07,-1.996275245579271286e+05
5.785757177405359108e+00,-2.619541132499464062e-03,9.832860432094451264e-01,-6.773224139734445512e+07,-2.046182045486690768e+05
5.926873206122563076e+00,-2.683432201911251092e-03,9.832858478415247294e-01,-6.773222793969266117e+07,-2.096088839376913675e+05
6.067989234839767043e+00,-2.747323258475638762e-03,9.832856477659519534e-01,-6.773221415775996447e+07,-2.145995627103178413e+05
6.209105263556971011e+00,-2.811214301886736343e-03,9.832854429827272424e-01,-6.773220005154633522e+07,-2.195902408518723096e+05
6.350221292274174978e+00,-2.875105331838652672e-03,9.832852334918512627e-01,-6.773218562105177343e+07,-2.245809183476785838e+05
6.491337320991378945e+00,-2.938996348025497019e-03,9.832850192933244582e-01,-6.773217086627627909e+07,-2.295715951830604754e+05
6.632453349708582913e+00,-3.002887350141379957e-03,9.832848003871477172e-01,-6.773215578721982241e+07,-2.345622713433417957e+05
6.773569378425786880e+00,-3.066778337880409454e-03,9.832845767733215947e-01,-6.773214038388240337e+07,-2.395529468138463271e+05
6.914685407142989959e+00,-3.130669310936695648e-03,9.832843484518467569e-01,-6.773212465626400709e+07,-2.445436215798978228e+05
7.055801435860193926e+00,-3.194560269004347378e-03,9.832841154227237590e-01,-6.773210860436461866e+07,-2.495342956268201524e+05
7.196917464577397894e+00,-3.258451211777474779e-03,9.832838776859532670e-01,-6.773209222818423808e+07,-2.545249689399370400e+05
7.338033493294601861e+00,-3.322342138950186256e-03,9.832836352415360581e-01,-6.773207552772283554e+07,-2.595156415045722679e+05
7.479149522011805828e+00,-3.386233050216591947e-03,9.832833880894729095e-01,-6.773205850298041105e+07,-2.645063133060496184e+05
7.620265550729009796e+00,-3.450123945270800255e-03,9.832831362297645983e-01,-6.773204115395694971e+07,-2.694969843296927866e+05
7.761381579446213763e+00,-3.514014823806920883e-03,9.832828796624117906e-01,-6.773202348065243661e+07,-2.744876545608255547e+05
7.902497608163417731e+00,-3.577905685519063104e-03,9.832826183874150416e-01,-6.773200548306685686e+07,-2.794783239847716759e+05
8.043613636880621698e+00,-3.641796530101336620e-03,9.832823524047753505e-01,-6.773198716120019555e+07,-2.844689925868548453e+05
8.184729665597824777e+00,-3.705687357247849402e-03,9.832820817144934944e-01,-6.773196851505243778e+07,-2.894596603523988160e+05
8.325845694315029633e+00,-3.769578166652712455e-03,9.832818063165701394e-01,-6.773194954462356865e+07,-2.944503272667273413e+05
8.466961723032232712e+00,-3.833468958010032880e-03,9.832815262110062848e-01,-6.773193024991358817e+07,-2.994409933151639998e+05
8.608077751749437567e+00,-3.897359731013921684e-03,9.832812413978025967e-01,-6.773191063092246652e+07,-3.044316584830326610e+05
8.749193780466640646e+00,-3.961250485358486402e-03,9.832809518769599633e-01,-6.773189068765020370e+07,-3.094223227556568454e+05
8.890309809183845502e+00,-4.025141220737837172e-03,9.832806576484792727e-01,-6.773187042009676993e+07,-3.144129861183603643e+05
9.031425837901048581e+00,-4.089031936846084132e-03,9.832803587123614131e-01,-6.773184982826215029e+07,-3.194036485564667964e+05
9.172541866618251660e+00,-4.152922633377333951e-03,9.832800550686070507e-01,-6.773182891214634478e+07,-3.243943100552998367e+05
9.313657895335456516e+00,-4.216813310025698501e-03,9.832797467172171846e-01,-6.773180767174932361e+07,-3.293849706001832383e+05
9.454773924052659595e+00,-4.280703966485285318e-03,9.832794336581929251e-01,-6.773178610707107186e+07,-3.343756301764405216e+05
9.595889952769864450e+00,-4.344594602450203673e-03,9.832791158915349383e-01,-6.773176421811157465e+07,-3.393662887693953817e+05
9.737005981487067530e+00,-4.408485217614561968e-03,9.832787934172443345e-01,-6.773174200487081707e+07,-3.443569463643713971e+05
9.878122010204272385e+00,-4.472375811672471210e-03,9.832784662353220018e-01,-6.773171946734878421e+07,-3.493476029466922628e+05
1.001923803892147546e+01,-4.536266384318038067e-03,9.832781343457688283e-01,-6.773169660554546118e+07,-3.543382585016814992e+05
1.016035406763868032e+01,-4.600156935245374411e-03,9.832777977485859244e-01,-6.773167341946081817e+07,-3.593289130146628013e+05
1.030147009635588340e+01,-4.664047464148585176e-03,9.832774564437739562e-01,-6.773164990909485519e+07,-3.643195664709596313e+05
1.044258612507308825e+01,-4.727937970721783970e-03,9.832771104313343669e-01,-6.773162607444754243e+07,-3.693102188558956841e+05
1.058370215379029133e+01,-4.791828454659075726e-03,9.832767597112680447e-01,-6.773160191551886499e+07,-3.743008701547944220e+05
1.072481818250749441e+01,-4.855718915654571449e-03,9.832764042835757667e-01,-6.773157743230880797e+07,-3.792915203529794235e+05
1.086593421122469927e+01,-4.919609353402380411e-03,9.832760441482588654e-01,-6.773155262481734157e+07,-3.842821694357743254e+05
1.100705023994190235e+01,-4.983499767596610147e-03,9.832756793053183397e-01,-6.773152749304445088e+07,-3.892728173885025317e+05
1.114816626865910720e+01,-5.047390157931371663e-03,9.832753097547551890e-01,-6.773150203699012101e+07,-3.942634641964876791e+05
