time,x,y,vx,vy
0.000000000000000000e+00,0.000000000000000000e+00,7.500000000000000000e-01,-8.599314520778544247e+07,0.000000000000000000e+00
1.411160287172038841e-01,-8.111638468331908093e-05,7.499999956257248357e-01,-8.599314470624187589e+07,-9.274517911082799401e+03
2.822320574344077682e-01,-1.622327684204370908e-04,7.499999825028992317e-01,-8.599314320161116123e+07,-1.854903571294760332e+04
4.233480861516116800e-01,-2.433491502651530941e-04,7.499999606315235212e-01,-8.599314069389331341e+07,-2.782355329637643081e+04
5.644641148688155363e-01,-3.244655292712659927e-04,7.499999300115978151e-01,-8.599313718308836222e+07,-3.709807055215128639e+04
7.055801435860193926e-01,-4.055819044925748781e-04,7.499998906431225576e-01,-8.599313266919635236e+07,-4.637258737105417822e+04
8.466961723032233600e-01,-4.866982749828787876e-04,7.499998425260981927e-01,-8.599312715221734345e+07,-5.564710364386714355e+04
9.878122010204272163e-01,-5.678146397959768672e-04,7.499997856605252755e-01,-8.599312063215139508e+07,-6.492161926137218688e+04
1.128928229737631073e+00,-6.489309979856682084e-04,7.499997200464044722e-01,-8.599311310899859667e+07,-7.419613411435135640e+04
1.270044258454835040e+00,-7.300473486057523905e-04,7.499996456837365599e-01,-8.599310458275902271e+07,-8.347064809358670027e+04
1.411160287172038785e+00,-8.111636907100282885e-04,7.499995625725224269e-01,-8.599309505343279243e+07,-9.274516108986026666e+04
1.552276315889242753e+00,-8.922800233522958611e-04,7.499994707127630722e-01,-8.599308452102001011e+07,-1.020196729939541401e+05
1.693392344606446720e+00,-9.733963455863546338e-04,7.499993701044594951e-01,-8.599307298552079499e+07,-1.112941836966503906e+05
1.834508373323650465e+00,-1.054512656466003806e-03,7.499992607476129169e-01,-8.599306044693529606e+07,-1.205686930887311028e+05
1.975624402040854433e+00,-1.135628955045043988e-03,7.499991426422247809e-01,-8.599304690526366234e+07,-1.298432010609784047e+05
2.116740430758058178e+00,-1.216745240377274488e-03,7.499990157882963082e-01,-8.599303236050605774e+07,-1.391177075041744101e+05
2.257856459475262145e+00,-1.297861511516496024e-03,7.499988801858289422e-01,-8.599301681266264617e+07,-1.483922123091013054e+05
2.398972488192466113e+00,-1.378977767516508445e-03,7.499987358348243482e-01,-8.599300026173362136e+07,-1.576667153665412334e+05
2.540088516909670080e+00,-1.460094007431112471e-03,7.499985827352843026e-01,-8.599298270771919191e+07,-1.669412165672763658e+05
2.681204545626873603e+00,-1.541210230314108602e-03,7.499984208872105818e-01,-8.599296415061955154e+07,-1.762157158020889328e+05
2.822320574344077571e+00,-1.622326435219298207e-03,7.499982502906049620e-01,-8.599294459043493867e+07,-1.854902129617611936e+05
2.963436603061281538e+00,-1.703442621200482220e-03,7.499980709454695527e-01,-8.599292402716557682e+07,-1.947647079370754072e+05
3.104552631778485505e+00,-1.784558787311461793e-03,7.499978828518064633e-01,-8.599290246081171930e+07,-2.040392006188138621e+05
3.245668660495689473e+00,-1.865674932606038510e-03,7.499976860096180253e-01,-8.599287989137361944e+07,-2.133136908977588464e+05
3.386784689212893440e+00,-1.946791056138014392e-03,7.499974804189062372e-01,-8.599285631885154545e+07,-2.225881786646927358e+05
3.527900717930096963e+00,-2.027907156961191240e-03,7.499972660796738744e-01,-8.599283174324579537e+07,-2.318626638103978767e+05
3.669016746647300931e+00,-2.109023234129371940e-03,7.499970429919232684e-01,-8.599280616455665231e+07,-2.411371462256567611e+05
3.810132775364504898e+00,-2.190139286696358729e-03,7.499968111556570838e-01,-8.599277958278441429e+07,-2.504116258012517937e+05
3.951248804081708865e+00,-2.271255313715954492e-03,7.499965705708780961e-01,-8.599275199792940915e+07,-2.596861024279654375e+05
4.092364832798912389e+00,-2.352371314241962549e-03,7.499963212375890809e-01,-8.599272340999197960e+07,-2.689605759965801844e+05
4.233480861516116356e+00,-2.433487287328187088e-03,7.499960631557929247e-01,-8.599269381897245347e+07,-2.782350463978786720e+05
4.374596890233320323e+00,-2.514603232028431428e-03,7.499957963254928472e-01,-8.599266322487118840e+07,-2.875095135226434795e+05
4.515712918950524291e+00,-2.595719147396499758e-03,7.499955207466918461e-01,-8.599263162768855691e+07,-2.967839772616571863e+05
4.656828947667728258e+00,-2.676835032486196263e-03,7.499952364193930299e-01,-8.599259902742493153e+07,-3.060584375057025463e+05
4.797944976384932225e+00,-2.757950886351327301e-03,7.499949433436000623e-01,-8.599256542408071458e+07,-3.153328941455621971e+05
4.939061005102136193e+00,-2.839066708045696625e-03,7.499946415193162741e-01,-8.599253081765629351e+07,-3.246073470720189507e+05
5.080177033819340160e+00,-2.920182496623110590e-03,7.499943309465451069e-01,-8.599249520815210044e+07,-3.338817961758556194e+05
5.221293062536544127e+00,-3.001298251137375552e-03,7.499940116252903355e-01,-8.599245859556855261e+07,-3.431562413478550734e+05
5.362409091253747206e+00,-3.082413970642297434e-03,7.499936835555557346e-01,-8.599242097990608215e+07,-3.524306824788001832e+05
5.503525119970951174e+00,-3.163529654191684325e-03,7.499933467373449680e-01,-8.599238236116515100e+07,-3.617051194594739936e+05
5.644641148688155141e+00,-3.244645300839342581e-03,7.499930011706622546e-01,-8.599234273934622109e+07,-3.709795521806594334e+05
5.785757177405359108e+00,-3.325760909639080293e-03,7.499926468555114800e-01,-8.599230211444976926e+07,-3.802539805331396055e+05
5.926873206122563076e+00,-3.406876479644705552e-03,7.499922837918969742e-01,-8.599226048647627234e+07,-3.895284044076976134e+05
6.067989234839767043e+00,-3.487992009910027315e-03,7.499919119798229561e-01,-8.599221785542623699e+07,-3.988028236951166182e+05
6.209105263556971011e+00,-3.569107499488854973e-03,7.499915314192938665e-01,-8.599217422130018473e+07,-4.080772382861798396e+05
6.350221292274174978e+00,-3.650222947434997919e-03,7.499911421103140352e-01,-8.599212958409862220e+07,-4.173516480716706137e+05
6.491337320991378945e+00,-3.731338352802266844e-03,7.499907440528880143e-01,-8.599208394382210076e+07,-4.266260529423722764e+05
6.632453349708582913e+00,-3.812453714644471574e-03,7.499903372470205776e-01,-8.599203730047115684e+07,-4.359004527890682220e+05
6.773569378425786880e+00,-3.893569032015423668e-03,7.499899216927166101e-01,-8.599198965404635668e+07,-4.451748475025419029e+05
6.914685407142989959e+00,-3.974684303968934254e-03,7.499894973899809969e-01,-8.599194100454826653e+07,-4.544492369735768298e+05
7.055801435860193926e+00,-4.055799529558817493e-03,7.499890643388185119e-01,-8.599189135197746754e+07,-4.637236210929566878e+05
7.196917464577397894e+00,-4.136914707838885812e-03,7.499886225392344841e-01,-8.599184069633457065e+07,-4.729979997514651041e+05
7.338033493294601861e+00,-4.218029837862951638e-03,7.499881719912340206e-01,-8.599178903762017190e+07,-4.822723728398858220e+05
7.479149522011805828e+00,-4.299144918684829134e-03,7.499877126948224504e-01,-8.599173637583488226e+07,-4.915467402490025852e+05
7.620265550729009796e+00,-4.380259949358332461e-03,7.499872446500052137e-01,-8.599168271097935736e+07,-5.008211018695993116e+05
7.761381579446213763e+00,-4.461374928937278384e-03,7.499867678567877505e-01,-8.599162804305422306e+07,-5.100954575924599776e+05
