time,x,y,vx,vy
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-6.661000385554982722e+07,0.000000000000000000e+00
7.073414413880536245e+01,-3.148945846476803451e-02,9.995041660436660980e-01,-6.657695996548135579e+07,-2.097512594317422714e+06
1.414682882776107249e+02,-6.294768210162593469e-02,9.980169922339937605e-01,-6.647788295644310117e+07,-4.192944121953851543e+06
2.122024324164160873e+02,-9.434346966571205417e-02,9.955399539212121951e-01,-6.631287113381662965e+07,-6.284216271509003825e+06
2.829365765552214498e+02,-1.256456818559456845e-01,9.920755082318857276e-01,-6.608208819874130189e+07,-8.369254860192112625e+06
3.536707206940268406e+02,-1.568232721996844492e-01,9.876270916303528935e-01,-6.578576308549086750e+07,-1.044599189101626910e+07
4.244048648328321747e+02,-1.878453178451894023e-01,9.821991165088514997e-01,-6.542418973415366560e+07,-1.251236760383839905e+07
4.951390089716375087e+02,-2.186810502313599747e-01,9.757969668097241644e-01,-6.499772679884315282e+07,-1.456633251821090654e+07
5.658731531104428996e+02,-2.492998856043210365e-01,9.684269926840528564e-01,-6.450679729172951728e+07,-1.660584946601918526e+07
6.366072972492482904e+02,-2.796714553505988410e-01,9.600965041920291876e-01,-6.395188816324663162e+07,-1.862889561188945919e+07
7.073414413880536813e+02,-3.097656361168049099e-01,9.508137640513184552e-01,-6.333354981889202446e+07,-2.063346445936359465e+07
7.780755855268589585e+02,-3.395525796859573675e-01,9.405879794406158956e-01,-6.265239557310023904e+07,-2.261756784085173905e+07
8.488097296656643493e+02,-3.690027425808138362e-01,9.294292928665331965e-01,-6.190910104073242843e+07,-2.457923788938981295e+07
9.195438738044697402e+02,-3.980869153648591841e-01,9.173487721028821262e-01,-6.110440346678683162e+07,-2.651652899024697021e+07
9.902780179432750174e+02,-4.267762516118925320e-01,9.043583992123386261e-01,-6.023910099499596655e+07,-2.842751971044826135e+07
1.061012162082080522e+03,-4.550422965154884980e-01,8.904710586613847623e-01,-5.931405187603695691e+07,-3.031031470429965854e+07
1.131746306220885799e+03,-4.828570151099614294e-01,8.757005245403214344e-01,-5.833017361614124477e+07,-3.216304659302642941e+07
1.202480450359691076e+03,-5.101928200748525599e-01,8.600614469010333663e-01,-5.728844206694899499e+07,-3.398387781666175276e+07
1.273214594498496581e+03,-5.370225990953680917e-01,8.435693372260619771e-01,-5.618989045751164854e+07,-3.577100245634979755e+07
1.343948738637301858e+03,-5.633197417516411232e-01,8.262405530434036027e-01,-5.503560836940347403e+07,-3.752264802525705099e+07
1.414682882776107363e+03,-5.890581659101558065e-01,8.080922817022947457e-01,-5.382674065595918149e+07,-3.923707722631694376e+07
1.485417026914912640e+03,-6.142123435911651663e-01,7.891425233260828120e-01,-5.256448630671022087e+07,-4.091258967506539077e+07
1.556151171053717917e+03,-6.387573262864596479e-01,7.694100729590888088e-01,-5.125009725814636052e+07,-4.254752358586005121e+07
1.626885315192523422e+03,-6.626687697023793122e-01,7.489145019251756130e-01,-4.988487715198260546e+07,-4.414025741981194913e+07
1.697619459331328699e+03,-6.859229579035418523e-01,7.276761384165094659e-01,-4.847018004216323048e+07,-4.568921149279647321e+07
1.768353603470133976e+03,-7.084968268333492469e-01,7.057160473317698468e-01,-4.700740905188559741e+07,-4.719284954195021093e+07
1.839087747608939480e+03,-7.303679871879519281e-01,6.830560093838049518e-01,-4.549801498197592795e+07,-4.864968024910122156e+07
1.909821891747744758e+03,-7.515147466209952665e-01,6.597184994974539807e-01,-4.394349487199725956e+07,-5.005825871962323785e+07
1.980556035886550035e+03,-7.719161312571339861e-01,6.357266645189605381e-01,-4.234539051551665366e+07,-5.141718791524837911e+07
2.051290180025355312e+03,-7.915519064929859017e-01,6.111043002590843543e-01,-4.070528693100417405e+07,-5.272512003941860050e+07
2.122024324164161044e+03,-8.104025970649038069e-01,5.858758278926785579e-01,-3.902481078987991810e+07,-5.398075787380331010e+07
2.192758468302966321e+03,-8.284495063636700962e-01,5.600662697381378896e-01,-3.730562880326794088e+07,-5.518285606465876848e+07
2.263492612441771598e+03,-8.456747349769688782e-01,5.337012244407333128e-01,-3.554944606905661523e+07,-5.633022235775495321e+07
2.334226756580576875e+03,-8.620611984412498430e-01,5.068068415844489971e-01,-3.375800438090452552e+07,-5.742171878064613789e+07
2.404960900719382153e+03,-8.775926441853885152e-01,4.794097957574912638e-01,-3.193308050086828321e+07,-5.845626277111399174e+07
2.475695044858187885e+03,-8.922536676493456609e-01,4.515372600971911399e-01,-3.007648439736495912e+07,-5.943282825066517293e+07
2.546429188996993162e+03,-9.060297275618446333e-01,4.232168793405318707e-01,-2.819005745021604747e+07,-6.035044664201983809e+07
2.617163333135798439e+03,-9.189071603619247686e-01,3.944767424070227957e-01,-2.627567062455221638e+07,-6.120820782958312333e+07
2.687897477274603716e+03,-9.308731937500720477e-01,3.653453545411088355e-01,-2.433522261538935453e+07,-6.200526106194794178e+07
2.758631621413408993e+03,-9.419159593554934373e-01,3.358516090417357214e-01,-2.237063796471504867e+07,-6.274081579553509504e+07
2.829365765552214725e+03,-9.520245045069791745e-01,3.060247586071022097e-01,-2.038386515295195952e+07,-6.341414247853486240e+07
2.900099909691020002e+03,-9.611888030956806661e-01,2.758943863230146620e-01,-1.837687466669005156e+07,-6.402457327437341958e+07
2.970834053829825280e+03,-9.693997655190399465e-01,2.454903763236054026e-01,-1.635165704460274987e+07,-6.457150272398745269e+07
3.041568197968630557e+03,-9.766492476960083602e-01,2.148428841535095501e-01,-1.431022090348417684e+07,-6.505438834625068307e+07
3.112302342107435834e+03,-9.829300591446186175e-01,1.839823068608839318e-01,-1.225459094636384025e+07,-6.547275117595762014e+07
3.183036486246241111e+03,-9.882359701139034058e-01,1.529392528509213867e-01,-1.018680595467311889e+07,-6.582617623883144557e+07
3.253770630385046843e+03,-9.925617177630867705e-01,1.217445115297504654e-01,-8.108916766453599557e+06,-6.611431296308542788e+07
3.324504774523852120e+03,-9.959030113819244967e-01,9.042902276881942258e-02,-6.022984242611207068e+06,-6.633687552713008225e+07
3.395238918662657397e+03,-9.982565366470153023e-01,5.902384622003717385e-02,-3.931077223231634125e+06,-6.649364314308156818e+07
3.465973062801462675e+03,-9.996199589098642146e-01,2.756013051209860870e-02,-1.835270475982871139e+06,-6.658446027579028904e+07
3.536707206940267952e+03,-9.999919255134337437e-01,-3.930917641467353112e-03,2.623573613619848620e+05,-6.660923679717271775e+07
3.607441351079073684e+03,-9.993720671348892415e-01,-3.541806439189727762e-02,2.359725842242402956e+06,-6.656794807569327205e+07
3.678175495217878961e+03,-9.977609981531999628e-01,-6.687007973175324027e-02,4.454754774425502867e+06,-6.646063500090759993e+07
3.748909639356684238e+03,-9.951603160412342275e-01,-9.825576846773372008e-02,6.545366282873975113e+06,-6.628740394304264337e+07
3.819643783495489515e+03,-9.915725997829457627e-01,-1.295440011590221763e-01,8.629486870322031900e+06,-6.604842664765346050e+07
3.890377927634294792e+03,-9.870014073172186375e-01,-1.607037449905012183e-01,1.070504947351732291e+07,-6.574394006546087563e+07
3.961112071773100070e+03,-9.814512720109032085e-01,-1.917040945502207494e-01,1.276999551309071109e+07,-6.537424611753833294e+07
4.031846215911905801e+03,-9.749276981645330631e-01,-2.225143024806041370e-01,1.482227693502224796e+07,-6.493971139608033001e+07
4.102580360050710624e+03,-9.674371555551808388e-01,-2.531038099730005264e-01,1.685985824167987332e+07,-6.444076680104859918e+07
4.173314504189516811e+03,-9.589870730218515993e-01,-2.834422770753518006e-01,1.888071851041800156e+07,-6.387790711305572093e+07
4.244048648328322088e+03,-9.495858310997777885e-01,-3.134996127829139945e-01,2.088285339773462713e+07,-6.325169050290909410e+07
4.314782792467127365e+03,-9.392427537109074853e-01,-3.432460048822099097e-01,2.286427712700125575e+07,-6.256273797830067575e+07
4.385516936605932642e+03,-9.279680989188219264e-01,-3.726519495186090825e-01,2.482302445779458061e+07,-6.181173276819048077e+07
4.456251080744737919e+03,-9.157730487572453004e-01,-4.016882804582246891e-01,2.675715263487829641e+07,-6.099941964549336582e+07
