time,x,y,vx,vy
0.000000000000000000e+00,0.000000000000000000e+00,9.832899999999999974e-01,-6.773251395529817045e+07,0.000000000000000000e+00
5.759780308445580204e+02,-2.573912221098395570e-01,9.446759316737591838e-01,-6.495719588199089468e+07,-2.018841764359915629e+07
1.151956061689116041e+03,-4.937924768795219355e-01,8.300034361483152878e-01,-5.676009289642503858e+07,-3.929866379299394786e+07
1.727934092533674175e+03,-6.882701008268243825e-01,6.456160524063850881e-01,-4.310605765580041707e+07,-5.613696052659317851e+07
2.303912123378232081e+03,-8.198733560369348972e-01,4.030116467615750819e-01,-2.404869620055493340e+07,-6.917664544596965611e+07
2.879890154222789988e+03,-8.683948233428704366e-01,1.204486226015101108e-01,1.389105951869860291e+04,-7.638591977631142735e+07
3.455868185067348350e+03,-8.165127987312300606e-01,-1.749073103964770282e-01,2.784716393819145113e+07,-7.514402104102377594e+07
4.031846215911906256e+03,-6.543915535048167031e-01,-4.450275098195773382e-01,5.657026602495172620e+07,-6.250230311641059816e+07
4.607824246756464163e+03,-3.877864744743683145e-01,-6.414454359863078770e-01,8.070830585552433133e+07,-3.632126819375397265e+07
5.183802277601022070e+03,-4.874805655269852378e-02,-7.125145267057826359e-01,9.212507365173709393e+07,2.186440471015840769e+06
5.759780308445579976e+03,2.979303111221017208e-01,-6.221483596272275873e-01,8.287720303289215267e+07,4.543922515999784321e+07
6.335758339290137883e+03,5.660160901774154985e-01,-3.757290315815301485e-01,5.136526210480391979e+07,7.999709867217814922e+07
6.911736370134696699e+03,6.820255516066087154e-01,-3.196254522527077618e-02,6.238683104025311768e+06,9.360414761496096849e+07
7.487714400979254606e+03,6.199522330744764442e-01,3.179481989027190258e-01,-3.805900566188416630e+07,8.298986410224339366e+07
8.063692431823812512e+03,4.074096376304073286e-01,5.890514602497819441e-01,-6.977289839058321714e+07,5.410690299527615309e+07
8.639670462668369510e+03,1.051277724002003255e-01,7.286800585856030299e-01,-8.381422356190729141e+07,1.656061702886833996e+07
9.215648493512928326e+03,-2.176825093551367496e-01,7.205822257791231200e-01,-8.044576129527616501e+07,-2.102231266542227566e+07
9.791626524357487142e+03,-4.988454102925026223e-01,5.772824874702841003e-01,-6.261231495882926881e+07,-5.244910840746746212e+07
1.036760455520204414e+04,-6.898017935124460820e-01,3.309699835031735815e-01,-3.421219409510852396e+07,-7.359605312722095847e+07
1.094358258604660296e+04,-7.577900127906399552e-01,2.692993779120485959e-02,4.851866785682812333e+05,-8.166010029903225601e+07
1.151956061689115995e+04,-6.873377795537159995e-01,-2.805009261411613997e-01,3.667381772291400284e+07,-7.468839790663985908e+07
1.209553864773571877e+04,-4.832442453614902989e-01,-5.311293298457230305e-01,6.844387236960051954e+07,-5.168200199835999310e+07
1.267151667858027577e+04,-1.759798872010898130e-01,-6.639839858695136821e-01,8.817411612331525981e+07,-1.359907536442438513e+07
1.324749470942483458e+04,1.715526675234462506e-01,-6.284347341695953881e-01,8.672411168238267303e+07,3.434345400159180909e+07
1.382347274026939340e+04,4.618691327479724773e-01,-4.062895221822171443e-01,5.637792753143526614e+07,7.942163196564385295e+07
1.439945077111395040e+04,5.802891321760842436e-01,-4.425229543611062383e-02,-1.223513969015561044e+06,1.007571468323913366e+08
1.497542880195850921e+04,4.494539014286492162e-01,3.254571640361879070e-01,-6.569998518999979645e+07,7.879499010902103782e+07
1.555140683280306621e+04,1.052763944651657207e-01,5.233594025298468067e-01,-1.016488631510878503e+08,1.468723516007268429e+07
