time,x,y,vx,vy
0.000000000000000000e+00,0.000000000000000000e+00,9.832899999999999974e-01,-6.773251395529817045e+07,0.000000000000000000e+00
2.850800354685185880e+02,-1.290721088285316509e-01,9.736836933771769731e-01,-6.708566949146810919e+07,-9.968807373698636889e+06
5.701600709370371760e+02,-2.556460027824134507e-01,9.451398161685127253e-01,-6.512082740679197758e+07,-1.981228541342923045e+07
8.552401064055557072e+02,-3.772085188058093008e-01,8.980215821832906453e-01,-6.183677237768068165e+07,-2.939736526467421651e+07
1.140320141874074352e+03,-4.912444127866794075e-01,8.329519861885681387e-01,-5.723374404409746826e+07,-3.858257099937188625e+07
1.425400177342592997e+03,-5.952411050175924201e-01,7.508338141723746029e-01,-5.131610683524727821e+07,-4.721393405109924078e+07
1.710480212811111414e+03,-6.866997086440288500e-01,6.528774072355979508e-01,-4.409640058929735422e+07,-5.512102783031011373e+07
1.995560248279630059e+03,-7.631552478296449449e-01,5.406358117152160192e-01,-3.560109233715803176e+07,-6.211334842787573487e+07
2.280640283748148704e+03,-8.222096644437085766e-01,4.160463665742903938e-01,-2.587841492919376493e+07,-6.797746425392113626e+07
2.565720319216667122e+03,-8.615819988991885170e-01,2.814767415284427088e-01,-1.500868953455813043e+07,-7.247564776497495174e+07
2.850800354685185994e+03,-8.791808669957205113e-01,1.397717446246793394e-01,-3.117426046198580414e+06,-7.534710337242557108e+07
3.135880390153704411e+03,-8.732047468402914792e-01,-5.705358268669811876e-03,9.608820652466950938e+06,-7.631341111676985025e+07
3.420960425622222829e+03,-8.422751126091613250e-01,-1.510469055614866718e-01,2.290453135183540732e+07,-7.509035057960771024e+07
3.706040461090741701e+03,-7.856052658661147881e-01,-2.918048462871078996e-01,3.640712366099822521e+07,-7.140867164504599571e+07
3.991120496559260118e+03,-7.032026572122827002e-01,-4.230444310233570926e-01,4.964238241340973973e+07,-6.504626699758557230e+07
4.276200532027778536e+03,-5.960932818703230662e-01,-5.394715535302390119e-01,6.201948016230766475e+07,-5.587297366341952980e+07
4.561280567496297408e+03,-4.665426317274712908e-01,-6.356581321876521029e-01,7.284391538899546862e+07,-4.390615222809527069e+07
4.846360602964816280e+03,-3.182297952073968039e-01,-7.063822449301841999e-01,8.135747054552759230e+07,-2.936980317648528516e+07
5.131440638433334243e+03,-1.563143355326279960e-01,-7.470793623546496676e-01,8.681141492133149505e+07,-1.274292564631055295e+07
5.416520673901853115e+03,1.267100554130911119e-02,-7.543662418412842019e-01,8.857067283890648186e+07,5.223180851733442396e+06
5.701600709370371987e+03,1.811526847915394811e-01,-7.265558649569908711e-01,8.623286460102173686e+07,2.353908019116460159e+07
5.986680744838889950e+03,3.410781123423168304e-01,-6.640472540585639072e-01,7.973187532218527794e+07,4.107274742278826237e+07
6.271760780307408822e+03,4.846408202726703585e-01,-5.694719556317893172e-01,6.938994712699171901e+07,5.669541116858955473e+07
6.556840815775927695e+03,6.050360848181930429e-01,-4.475254068377249594e-01,5.589304335415712744e+07,6.944347123506383598e+07
6.841920851244445657e+03,6.970865313402155872e-01,-3.044971442925468730e-01,4.019016235713786632e+07,7.865076336593464017e+07
7.127000886712964530e+03,7.576100270212897669e-01,-1.476022966990098995e-01,2.334567831816021353e+07,8.401463889042846859e+07
7.412080922181483402e+03,7.854820227844310221e-01,1.573448689781673307e-02,6.388603026772420853e+06,8.558506448253455758e+07
7.697160957650002274e+03,7.814316830242571399e-01,1.785016831606027199e-01,-9.803101943736769259e+06,8.369326536626733840e+07
7.982240993118520237e+03,7.476674419023923157e-01,3.345433788068032377e-01,-2.456485445044472814e+07,7.885136814416906238e+07
8.267321028587039109e+03,6.874391470598371079e-01,4.788002559421229987e-01,-3.745700597879857570e+07,7.165341726725128293e+07
8.552401064055557072e+03,6.046215846044232789e-01,6.073769069681186350e-01,-4.824081431808312982e+07,6.269701155839942396e+07
8.837481099524076853e+03,5.033686775537358216e-01,7.174863157137258973e-01,-5.683671745449848473e+07,5.253211420001631230e+07
9.122561134992594816e+03,3.878555611200215081e-01,8.073236607663333286e-01,-6.327908819455319643e+07,4.163466336282110214e+07
9.407641170461112779e+03,2.621043780676893808e-01,8.759111020033288897e-01,-6.767593793946605921e+07,3.039857899497910589e+07
9.692721205929632561e+03,1.298791092413460468e-01,9.229414468814634009e-01,-7.017711565926693380e+07,1.913931019702871144e+07
9.977801241398150523e+03,-5.368064102677814683e-03,9.486364488956575691e-01,-7.095137186809417605e+07,8.103384772233080119e+06
1.026288127686666849e+04,-1.405149344697123326e-01,9.536267069660784301e-01,-7.017107739957112074e+07,-2.519814684940820560e+06
1.054796131233518827e+04,-2.727649083721311873e-01,9.388546415884519991e-01,-6.800287734532707930e+07,-1.258628517414628714e+07
1.083304134780370623e+04,-3.996296810403224264e-01,9.054990477833726459e-01,-6.460262438496010005e+07,-2.198677910902191699e+07
1.111812138327222419e+04,-5.189056117179207117e-01,8.549184115305763498e-01,-6.011323406185251474e+07,-3.063775519745840877e+07
1.140320141874074397e+04,-6.286482282785730291e-01,7.886098394776065446e-01,-5.466444968160552531e+07,-3.847394702473387122e+07
1.168828145420926194e+04,-7.271476907906926357e-01,7.081806205742853244e-01,-4.837381193525040895e+07,-4.544240231375121325e+07
1.197336148967777990e+04,-8.129069689721042380e-01,6.153298221609233565e-01,-4.134837162032501400e+07,-5.149777635823971033e+07
1.225844152514629968e+04,-8.846238106954027458e-01,5.118377572070437198e-01,-3.368686397354261577e+07,-5.659865961912184209e+07
1.254352156061481764e+04,-9.411771871281146007e-01,3.995615580107963472e-01,-2.548219133504358307e+07,-6.070474928854040802e+07
1.282860159608333561e+04,-9.816187090828674133e-01,2.804354136355426963e-01,-1.682414998603622243e+07,-6.377472006399909407e+07
1.311368163155185539e+04,-1.005169456385561100e+00,1.564742549514376857e-01,-7.802397935108227655e+06,-6.576470232689553499e+07
1.339876166702037335e+04,-1.011222703031438019e+00,2.977979208323381852e-02,1.490299143168162555e+06,-6.662733416467017680e+07
1.368384170248889131e+04,-9.993531222911495870e-01,-9.745218594451758587e-02,1.095448260896552913e+07,-6.631141854278483242e+07
1.396892173795741110e+04,-9.693331886276601583e-01,-2.229244658940816581e-01,2.048000724394553900e+07,-6.476229181125913560e+07
1.425400177342592906e+04,-9.211576244773189703e-01,-3.442325167504416417e-01,2.994158330432623997e+07,-6.192309888738542050e+07
1.453908180889444884e+04,-8.550768234962703440e-01,-4.588620125120141946e-01,3.919384204979562759e+07,-5.773727754563591629e+07
