time,x,y,vx,vy
0.000000000000000000e+00,0.000000000000000000e+00,9.832899999999999974e-01,-6.773251395529817045e+07,0.000000000000000000e+00
5.645713845045677637e+00,-2.556135717918413264e-03,9.832862324381546060e-01,-6.773225443210458755e+07,-1.996654617823932203e+05
1.129142769009135527e+01,-5.112251847695869177e-03,9.832749297703518021e-01,-6.773147586221089959e+07,-3.993299837644282961e+05
1.693714153513703380e+01,-7.668328801110850697e-03,9.832560920497929180e-01,-6.773017824467867613e+07,-5.989926261072003981e+05
2.258285538018271055e+01,-1.022434698994951346e-02,9.832297193651476919e-01,-6.772836157794344425e+07,-7.986524489646019647e+05
2.822856922522838730e+01,-1.278028685118203465e-02,9.831958118362734700e-01,-6.772602585859185457e+07,-9.983085218574530445e+05
3.387428307027406760e+01,-1.533612882898213736e-02,9.831543696167581725e-01,-6.772317108225540817e+07,-1.197959917230208404e+06
3.951999691531974435e+01,-1.789185332638508485e-02,9.831053929023593208e-01,-6.771979724594295025e+07,-1.397605692293705884e+06
4.516571076036542109e+01,-2.044744074617233648e-02,9.830488819244237453e-01,-6.771590434603676200e+07,-1.597244904046092648e+06
5.081142460541109784e+01,-2.300287149126824596e-02,9.829848369498220828e-01,-6.771149237827318907e+07,-1.796876609419597313e+06
5.645713845045677459e+01,-2.555812596474009088e-02,9.829132582809476659e-01,-6.770656133774262667e+07,-1.996499865280528553e+06
6.210285229550245134e+01,-2.811318456979805883e-02,9.828341462557177444e-01,-6.770111121888956428e+07,-2.196113728429276496e+06
6.774856614054813519e+01,-3.066802770979527512e-02,9.827475012475728189e-01,-6.769514201551255584e+07,-2.395717255600311328e+06
7.339427998559381194e+01,-3.322263578822771957e-02,9.826533236654773074e-01,-6.768865372076418996e+07,-2.595309503462183289e+06
7.903999383063948869e+01,-3.577698920873435134e-02,9.825516139539182126e-01,-6.768164632715116441e+07,-2.794889528617524542e+06
8.468570767568516544e+01,-3.833106837509699799e-02,9.824423725929064544e-01,-6.767411982653421164e+07,-2.994456387603048235e+06
9.033142152073084219e+01,-4.088485369124042479e-02,9.823256000979765368e-01,-6.766607421012817323e+07,-3.194009136889546644e+06
9.597713536577651894e+01,-4.343832556123229660e-02,9.822012970201861037e-01,-6.765750946850191057e+07,-3.393546832881894428e+06
1.016228492108221957e+02,-4.599146438928319869e-02,9.820694639461162723e-01,-6.764842559157837927e+07,-3.593068531919045839e+06
1.072685630558678724e+02,-4.854425057974663671e-02,9.819301014978715214e-01,-6.763882256863459945e+07,-3.792573290274036583e+06
1.129142769009135492e+02,-5.109666453711899509e-02,9.817832103330800253e-01,-6.762870038830167055e+07,-3.992060164153982885e+06
1.185599907459592259e+02,-5.364868666603964109e-02,9.816287911448930981e-01,-6.761805903856472671e+07,-4.191528209700081032e+06
1.242057045910049027e+02,-5.620029737129077219e-02,9.814668446619857489e-01,-6.760689850676299632e+07,-4.390976482987608761e+06
1.298514184360505794e+02,-5.875147705779757562e-02,9.812973716485563491e-01,-6.759521877958975732e+07,-4.590404040025927126e+06
1.354971322810962704e+02,-6.130220613062810353e-02,9.811203729043262989e-01,-6.758301984309239686e+07,-4.789809936758470722e+06
1.411428461261419329e+02,-6.385246499499327988e-02,9.809358492645410266e-01,-6.757030168267232180e+07,-4.989193229062760249e+06
1.467885599711876239e+02,-6.640223405624712250e-02,9.807438015999693226e-01,-6.755706428308501840e+07,-5.188552972750400193e+06
1.524342738162332864e+02,-6.895149371988629206e-02,9.805442308169027843e-01,-6.754330762844006717e+07,-5.387888223567067645e+06
1.580799876612789774e+02,-7.150022439155061249e-02,9.803371378571570371e-01,-6.752903170220106840e+07,-5.587198037192526273e+06
1.637257015063246399e+02,-7.404840647702265466e-02,9.801225236980709576e-01,-6.751423648718574643e+07,-5.786481469240617938e+06
1.693714153513703309e+02,-7.659602038222802778e-02,9.799003893525067843e-01,-6.749892196556584537e+07,-5.985737575259267353e+06
1.750171291964159934e+02,-7.914304651323511575e-02,9.796707358688505618e-01,-6.748308811886720359e+07,-6.184965410730477422e+06
1.806628430414616844e+02,-8.168946527625534082e-02,9.794335643310110306e-01,-6.746673492796972394e+07,-6.384164031070333906e+06
1.863085568865073753e+02,-8.423525707764299708e-02,9.791888758584210706e-01,-6.744986237310737371e+07,-6.583332491629001684e+06
1.919542707315530379e+02,-8.678040232389522268e-02,9.789366716060367013e-01,-6.743247043386816978e+07,-6.782469847690726630e+06
