time,x,y,vx,vy
0.000000000000000000e+00,0.000000000000000000e+00,9.832899999999999974e-01,-6.773251395529817045e+07,0.000000000000000000e+00
5.655896495267202795e+01,-2.560421088615022836e-02,9.829119403128602217e-01,-6.770646143711996078e+07,-2.000099778073423309e+06
1.131179299053440559e+02,-5.118872558715139437e-02,9.817778559240591951e-01,-6.762831322533997893e+07,-3.999253922382307239e+06
1.696768948580160838e+02,-7.673384681270642438e-02,9.798882832347856064e-01,-6.749805992271839082e+07,-5.996515695591807365e+06
2.262358598106881118e+02,-1.022198725477520415e-01,9.772441170876573491e-01,-6.731568594471056759e+07,-7.990935413579311222e+06
2.827948247633601113e+02,-1.276270937369650971e-01,9.738466121598893244e-01,-6.708116965406667441e+07,-9.981558968218186870e+06
3.393537897160321677e+02,-1.529357920304969254e-01,9.696973849156796943e-01,-6.679448355027072877e+07,-1.196742634606361762e+07
3.959127546687042241e+02,-1.781262376118469271e-01,9.647984161196152542e-01,-6.645559451481264085e+07,-1.394757014162947237e+07
4.524717196213762236e+02,-2.031786871292180774e-01,9.591520539133799872e-01,-6.606446411357601732e+07,-1.592101406399328262e+07
5.090306845740482231e+02,-2.280733817522360429e-01,9.527610174585187108e-01,-6.562104895791743696e+07,-1.788677143552778661e+07
5.655896495267202226e+02,-2.527905453765657007e-01,9.456284011484472618e-01,-6.512530112631109357e+07,-1.984384368163288757e+07
6.221486144793923359e+02,-2.773103829997252689e-01,9.377576793933111166e-01,-6.457716864873583615e+07,-2.179121881043237448e+07
6.787075794320643354e+02,-3.016130792922785409e-01,9.291527119816654912e-01,-6.397659605629152805e+07,-2.372786988150635362e+07
7.352665443847363349e+02,-3.256787973895864940e-01,9.198177500232763704e-01,-6.332352499884819984e+07,-2.565275346285472810e+07
7.918255093374084481e+02,-3.494876779304195713e-01,9.097574424776249113e-01,-6.261789493385571986e+07,-2.756480807543023303e+07
8.483844742900804476e+02,-3.730198383699777631e-01,8.989768432729103864e-01,-6.185964388977400959e+07,-2.946295262474401295e+07
9.049434392427524472e+02,-3.962553725962377205e-01,8.874814190205063680e-01,-6.104870930792474747e+07,-3.134608481923385710e+07
9.615024041954244467e+02,-4.191743508800482854e-01,8.752770573298990220e-01,-6.018502896691520512e+07,-3.321307957529746741e+07
1.018061369148096446e+03,-4.417568201910332393e-01,8.623700757291297148e-01,-5.926854199414364994e+07,-3.506278740913311392e+07
1.074620334100768559e+03,-4.639828049131347609e-01,8.487672311956612203e-01,-5.829918996926368773e+07,-3.689403281580019742e+07
1.131179299053440445e+03,-4.858323079955432777e-01,8.344757303023732087e-01,-5.727691812486165762e+07,-3.870561263621583581e+07
1.187738264006112558e+03,-5.072853125768235216e-01,8.195032399830584069e-01,-5.620167664998650551e+07,-4.049629441314364225e+07
1.244297228958784672e+03,-5.283217841222455080e-01,8.038578989213245318e-01,-5.507342210256493837e+07,-4.226481473761112243e+07
1.300856193911456558e+03,-5.489216731166928209e-01,7.875483295661809269e-01,-5.389211893713452667e+07,-4.400987758761660755e+07
1.357415158864128671e+03,-5.690649183580243076e-01,7.705836507767980237e-01,-5.265774115473351628e+07,-4.573015266145901382e+07
1.413974123816800784e+03,-5.887314508984287098e-01,7.529734910979535289e-01,-5.137027408219580352e+07,-4.742427370854903758e+07
1.470533088769472670e+03,-6.079011986841318382e-01,7.347280026664811947e-01,-5.002971628851094842e+07,-4.909083686114364862e+07
1.527092053722144783e+03,-6.265540919467884606e-01,7.158578757476247167e-01,-4.863608164631991833e+07,-5.072839897109112889e+07
1.583651018674816896e+03,-6.446700694030178536e-01,6.963743538985175396e-01,-4.718940154702383280e+07,-5.233547595638822764e+07
1.640209983627488782e+03,-6.622290853218252282e-01,6.762892497540469172e-01,-4.568972727838099748e+07,-5.391054116313934326e+07
1.696768948580160895e+03,-6.792111175230779452e-01,6.556149614280886162e-01,-4.413713257385318726e+07,-5.545202374937627465e+07
1.753327913532832781e+03,-6.955961763737773529e-01,6.343644895204763046e-01,-4.253171634332884848e+07,-5.695830709815239161e+07
1.809886878485504894e+03,-7.113643148525720106e-01,6.125514547170719526e-01,-4.087360559519220144e+07,-5.842772726837445050e+07
1.866445843438177008e+03,-7.264956397567882140e-01,5.901901159668923036e-01,-3.916295856001602858e+07,-5.985857149298422039e+07
1.923004808390848893e+03,-7.409703241301877075e-01,5.672953892163755674e-01,-3.739996802642191947e+07,-6.124907673535937071e+07
1.979563773343521007e+03,-7.547686209936943502e-01,5.438828666765077591e-01,-3.558486489986567199e+07,-6.259742831617420912e+07
2.036122738296192892e+03,-7.678708784654266761e-01,5.199688365936253609e-01,-3.371792199525475502e+07,-6.390175862445390224e+07
2.092681703248865233e+03,-7.802575563605145259e-01,4.955703034892119940e-01,-3.179945807437520102e+07,-6.516014592817768455e+07
2.149240668201537119e+03,-7.919092443653250601e-01,4.707050088278778577e-01,-2.982984213908241689e+07,-6.637061330154263973e+07
2.205799633154209005e+03,-8.028066818848450525e-01,4.453914520658823206e-01,-2.780949799107471481e+07,-6.753112768789777160e+07
