time,x,y,vx,vy
0.000000000000000000e+00,0.000000000000000000e+00,9.832899999999999974e-01,-6.773251395529817045e+07,0.000000000000000000e+00
5.655896495267202795e+01,-2.560421097945304522e-02,9.829118981204632011e-01,-6.770646763566245139e+07,-2.000100201327819843e+06
1.131179299053440559e+02,-5.118872837735782833e-02,9.817777709758148674e-01,-6.762832555807796121e+07,-3.999255737280678935e+06
1.696768948580160838e+02,-7.673385064085928853e-02,9.798881556192065023e-01,-6.749807851419390738e+07,-5.996518170044081286e+06
2.262358598106881118e+02,-1.022198769876980912e-01,9.772439470077425305e-01,-6.731571082286895812e+07,-7.990938157036928460e+06
2.827948247633601113e+02,-1.276273231641593120e-01,9.738454892232970561e-01,-6.708170899031911790e+07,-9.981343840822221711e+06
3.393537897160321677e+02,-1.529367349832939649e-01,9.696932268272600020e-01,-6.679652607666487992e+07,-1.196660256194854341e+07
3.959127546687042241e+02,-1.781282812497674839e-01,9.647894077672485302e-01,-6.645972689578496665e+07,-1.394596942200302891e+07
4.524717196213762236e+02,-2.031821029645607402e-01,9.591366711556568170e-01,-6.607090878690527380e+07,-1.591866087955436483e+07
5.090306845740482231e+02,-2.280783162707964717e-01,9.527380351391332436e-01,-6.562970894749848545e+07,-1.788385145310816914e+07
5.655896495267202226e+02,-2.527970124537391450e-01,9.455968968985815071e-01,-6.513580443328405172e+07,-1.984067372110699117e+07
6.221486144793923359e+02,-2.773182579407951209e-01,9.377170326491595098e-01,-6.458891215822821856e+07,-2.178821832193031162e+07
6.787075794320643354e+02,-3.016220943015123779e-01,9.291025976402802478e-01,-6.398878889454400539e+07,-2.372553395389453322e+07
7.352665443847363349e+02,-3.256885382475808166e-01,9.197581261556107002e-01,-6.333523127269120514e+07,-2.565162737525299564e+07
7.918255093374084481e+02,-3.494975816328320661e-01,9.096885315130731620e-01,-6.262807578137639910e+07,-2.756546340419597551e+07
8.483844742900804476e+02,-3.730291914532394837e-01,8.988991060648441334e-01,-6.186719876755294949e+07,-2.946596491885066032e+07
9.049434392427524472e+02,-3.962633098469183213e-01,8.873955211973552082e-01,-6.105251643642098457e+07,-3.135201285728119314e+07
9.615024041954244467e+02,-4.191798540941256701e-01,8.751838273312924077e-01,-6.018398485142744333e+07,-3.322244621748863161e+07
1.018061369148096446e+03,-4.417587166172602942e-01,8.622704539215960695e-01,-5.926159993426600099e+07,-3.507606205741095543e+07
1.074620334100768559e+03,-4.639797649808626856e-01,8.486622094574619579e-01,-5.828539746487715095e+07,-3.691161549492311478e+07
1.131179299053440445e+03,-4.858228418916153424e-01,8.343662814623397095e-01,-5.725545308144815266e+07,-3.872781970783694088e+07
1.187738264006112558e+03,-5.072677651983421576e-01,8.193902364939341654e-01,-5.617188228041303158e+07,-4.052334593390120566e+07
1.244297228958784672e+03,-5.282943278920092522e-01,8.037420201442047052e-01,-5.503484041645261645e+07,-4.229682347080165893e+07
1.300856193911456558e+03,-5.488822981057243089e-01,7.874299570393653580e-01,-5.384452270249451697e+07,-4.404683967616090924e+07
1.357415158864128671e+03,-5.690114191147369604e-01,7.704627508398845803e-01,-5.260116420971308649e+07,-4.577193996753855795e+07
1.413974123816800784e+03,-5.886614093364382905e-01,7.528494842404858112e-01,-5.130503986752951145e+07,-4.747062782243110985e+07
1.470533088769472670e+03,-6.078119623303614993e-01,7.345996189701470280e-01,-4.995646446361170709e+07,-4.914136477827197313e+07
1.527092053722144783e+03,-6.264427467981813491e-01,7.157229957921006358e-01,-4.855579264387440681e+07,-5.078257043243154138e+07
1.583651018674816896e+03,-6.445334065837147186e-01,6.962298345038341330e-01,-4.710341891247910261e+07,-5.239262244221709669e+07
1.640209983627488782e+03,-6.620635606729198264e-01,6.761307339370895564e-01,-4.559977763183407485e+07,-5.396985652487288415e+07
1.696768948580160895e+03,-6.790128036989330207e-01,6.554366773041648830e-01,-4.404534221315386146e+07,-5.551256878462203592e+07
1.753327913532832781e+03,-6.953611794757491582e-01,6.341632330237760851e-01,-4.243981325967589021e+07,-5.702069125180877745e+07
1.809886878485504894e+03,-7.110890566316383499e-01,6.123265393654956368e-01,-4.078230402771320194e+07,-5.849356899986354262e+07
1.866445843438177008e+03,-7.261766944689325154e-01,5.899401977945626374e-01,-3.907240332378750294e+07,-5.992894358951843530e+07
1.923004808390848893e+03,-7.406045095310286319e-01,5.670186827641333638e-01,-3.730982271059380472e+07,-6.132455533098028600e+07
1.979563773343521007e+03,-7.543530756023881789e-01,5.435773417152807152e-01,-3.549439650700034201e+07,-6.267814328393071890e+07
2.036122738296192892e+03,-7.674031237085372492e-01,5.196323950769949906e-01,-3.362608178804866970e+07,-6.398744525752604753e+07
