time,x,y,vx,vy
0.000000000000000000e+00,0.000000000000000000e+00,9.832899999999999974e-01,-6.773251395529817045e+07,0.000000000000000000e+00
5.655896495267202795e+01,-2.560749253311549525e-02,9.829118834012301464e-01,-6.770649144562076032e+07,-1.999354730940504465e+06
1.131179299053440559e+02,-5.119529816631671754e-02,9.817779642628786663e-01,-6.762838347580009699e+07,-3.997763155679862015e+06
1.696768948580160838e+02,-7.674372389291876650e-02,9.798887795408526280e-01,-6.749818089280416071e+07,-5.994276396969885565e+06
2.262358598106881118e+02,-1.022330721027435579e-01,9.772452253473400408e-01,-6.731586856701011956e+07,-7.987942644265295938e+06
2.827948247633601113e+02,-1.276436383429618293e-01,9.738485583373052146e-01,-6.708142552741603553e+07,-9.977805684899521992e+06
3.393537897160321677e+02,-1.529557091403775937e-01,9.697003976509265266e-01,-6.679482515188962966e+07,-1.196290343131053261e+07
3.959127546687042241e+02,-1.781495599061220791e-01,9.648027274137125353e-01,-6.645603541343972087e+07,-1.394226644305615872e+07
4.524717196213762236e+02,-2.032054529441515434e-01,9.591578997965032327e-01,-6.606501918378280103e+07,-1.591491644240720011e+07
5.090306845740482231e+02,-2.281036355854775821e-01,9.527686386380067596e-01,-6.562173459576766938e+07,-1.787986482236867398e+07
5.655896495267202226e+02,-2.528243384707063446e-01,9.456380436329475669e-01,-6.512613546651592851e+07,-1.983611114605593681e+07
6.221486144793923359e+02,-2.773477740042204487e-01,9.377695950892881438e-01,-6.457817178343660384e+07,-2.178264163644391671e+07
6.787075794320643354e+02,-3.016541350042116765e-01,9.291671592583434780e-01,-6.397779025557941198e+07,-2.371842765561544895e+07
7.352665443847363349e+02,-3.257235935737620713e-01,9.198349942419100644e-01,-6.332493493310432881e+07,-2.564242417276031151e+07
7.918255093374084481e+02,-3.495363002192815594e-01,9.097777564807951745e-01,-6.261954789796528965e+07,-2.755356822032112256e+07
8.483844742900804476e+02,-3.730723832438425647e-01,8.990005078293248353e-01,-6.186157002923399210e+07,-2.945077733784805611e+07
9.049434392427524472e+02,-3.963119484443103913e-01,8.875087232205467469e-01,-6.105094184682585299e+07,-3.133294800331299379e+07
9.615024041954244467e+02,-4.192350791426542322e-01,8.753082989268965441e-01,-6.018760443773479760e+07,-3.319895405184732378e+07
1.018061369148096446e+03,-4.418218365834428729e-01,8.624055614210697218e-01,-5.927150046923672408e+07,-3.504764508210916072e+07
1.074620334100768559e+03,-4.640522607312833059e-01,8.488072768417115332e-01,-5.830257529388308525e+07,-3.687784485075721890e+07
1.131179299053440445e+03,-4.859063715038503539e-01,8.345206610683083559e-01,-5.728077815147612989e+07,-3.868834965581343323e+07
1.187738264006112558e+03,-5.073641704781934880e-01,8.195533904092990873e-01,-5.620606347359510511e+07,-4.047792671003775299e+07
1.244297228958784672e+03,-5.284056431101785689e-01,8.039136129069420766e-01,-5.507839229662781209e+07,-4.224531250581960380e+07
1.300856193911456558e+03,-5.490107615092524318e-01,7.876099602618192863e-01,-5.389773378965313733e+07,-4.398921117351569980e+07
1.357415158864128671e+03,-5.691594878131903679e-01,7.706515603790506930e-01,-5.266406690391613543e+07,-4.570829283563664556e+07
1.413974123816800784e+03,-5.888317782101076814e-01,7.530480505372885158e-01,-5.137738215103641152e+07,-4.740119195980992168e+07
1.470533088769472670e+03,-6.080075876577967220e-01,7.348095911803480540e-01,-5.003768351749041677e+07,-4.906650571402937174e+07
1.527092053722144783e+03,-6.266668753533741754e-01,7.159468803298897344e-01,-4.864499052330627292e+07,-5.070279232834549248e+07
1.583651018674816896e+03,-6.447896110093005451e-01,6.964711686158703285e-01,-4.719934043330265582e+07,-5.230856946786291152e+07
1.640209983627488782e+03,-6.623557819950579573e-01,6.763942749194968851e-01,-4.570079062958645821e+07,-5.388231262269680202e+07
