time,x,y,vx,vy
0.000000000000000000e+00,0.000000000000000000e+00,7.500000000000000000e-01,-8.599314520778544247e+07,0.000000000000000000e+00
2.825117468606941173e+01,-1.623935405795240081e-02,7.498246820299763193e-01,-8.597305595904156566e+07,-1.856174827158182627e+06
5.650234937213882347e+01,-3.247111830803071919e-02,7.492988765733232803e-01,-8.591278096733629704e+07,-3.711473271721709985e+06
8.475352405820822810e+01,-4.868770571283458082e-02,7.484228319252671513e-01,-8.581234928470432758e+07,-5.565018970134168863e+06
1.130046987442776469e+02,-6.488153655102636697e-02,7.471969618156794057e-01,-8.567180932741813362e+07,-7.415936434348727576e+06
1.412558734303470658e+02,-8.104504207222662515e-02,7.456218452023800625e-01,-8.549122885031971335e+07,-9.263351489465773106e+06
1.695070481164164562e+02,-9.717066814609189029e-02,7.436982259818555319e-01,-8.527069491088764369e+07,-1.110639171060544252e+07
1.977582228024858750e+02,-1.132508789036382607e-01,7.414270126175602771e-01,-8.501031382306334376e+07,-1.294418685876009613e+07
2.260093974885552939e+02,-1.292781603688794023e-01,7.388092776860182287e-01,-8.471021110086764395e+07,-1.477586931537253968e+07
2.542605721746247127e+02,-1.452450240788543401e-01,7.358462573409884078e-01,-8.437053139184524119e+07,-1.660057451538693905e+07
2.825117468606941316e+02,-1.611440106901277369e-01,7.325393506960077294e-01,-8.399143840038165450e+07,-1.841744137852048501e+07
3.107629215467635504e+02,-1.769676935698548947e-01,7.288901191256699219e-01,-8.357311480094395578e+07,-2.022561273850536719e+07
3.390140962328329124e+02,-1.927086823695135509e-01,7.249002854860486789e-01,-8.311576214130328596e+07,-2.202423577005219460e+07
3.672652709189023312e+02,-2.083596265794168123e-01,7.205717332547161291e-01,-8.261960073580370843e+07,-2.381246241328787804e+07
3.955164456049717501e+02,-2.239132190621331009e-01,7.159065055908612196e-01,-8.208486954874877632e+07,-2.558944979542292655e+07
4.237676202910411689e+02,-2.393621995629550414e-01,7.109068043160489125e-01,-8.151182606798331439e+07,-2.735436064940543100e+07
4.520187949771105878e+02,-2.546993581955724895e-01,7.055749888162170524e-01,-8.090074616875478625e+07,-2.910636372932132706e+07
4.802699696631800066e+02,-2.699175389011226334e-01,6.999135748655435085e-01,-8.025192396794459224e+07,-3.084463422230313718e+07
5.085211443492494254e+02,-2.850096428788074232e-01,6.939252333728699318e-01,-7.956567166876624525e+07,-3.256835415671219677e+07
5.367723190353187874e+02,-2.999686319862874262e-01,6.876127890514029950e-01,-7.884231939603312314e+07,-3.427671280636228621e+07
5.650234937213882631e+02,-3.147875321080813582e-01,6.809792190124662747e-01,-7.808221502210505307e+07,-3.596890709055580199e+07
5.932746684074576251e+02,-3.294594364902212469e-01,6.740276512841133494e-01,-7.728572398362855613e+07,-3.764414196970669925e+07
6.215258430935271008e+02,-3.439775090394364132e-01,6.667613632554569847e-01,-7.645322908919157088e+07,-3.930163083632831275e+07
6.497770177795964628e+02,-3.583349875851616906e-01,6.591837800476103570e-01,-7.558513031801928580e+07,-4.094059590116724372e+07
6.780281924656658248e+02,-3.725251871026902806e-01,6.512984728121772315e-01,-7.468184460984319448e+07,-4.256026857426892221e+07
7.062793671517353005e+02,-3.865415028958176791e-01,6.431091569582696454e-01,-7.374380564608097076e+07,-4.415988984076387435e+07
7.345305418378046625e+02,-4.003774137373478093e-01,6.346196903090676189e-01,-7.277146362247033417e+07,-4.573871063116818666e+07
7.627817165238741381e+02,-4.140264849658629731e-01,6.258340711889781582e-01,-7.176528501330491900e+07,-4.729599218599579483e+07
7.910328912099435001e+02,-4.274823715371843802e-01,6.167564364424853451e-01,-7.072575232742559910e+07,-4.883100641448454559e+07
8.192840658960129758e+02,-4.407388210289818198e-01,6.073910593858222740e-01,-6.965336385612541437e+07,-5.034303624724274874e+07
8.475352405820823378e+02,-4.537896765970203528e-01,5.977423476926310153e-01,-6.854863341313114762e+07,-5.183137598262728006e+07
8.757864152681518135e+02,-4.666288798815635408e-01,5.878148412148103130e-01,-6.741209006682917476e+07,-5.329533162666948885e+07
9.040375899542211755e+02,-4.792504738624842053e-01,5.776132097397905785e-01,-6.624427786490772665e+07,-5.473422122636959702e+07
9.322887646402905375e+02,-4.916486056616679035e-01,5.671422506854996159e-01,-6.504575555159190297e+07,-5.614737519618587196e+07
9.605399393263600132e+02,-5.038175292913261716e-01,5.564068867343259228e-01,-6.381709627765216678e+07,-5.753413663754945248e+07
9.887911140124293752e+02,-5.157516083468721702e-01,5.454121634074083902e-01,-6.255888730337077379e+07,-5.889386165124131739e+07
1.017042288698498851e+03,-5.274453186430483331e-01,5.341632465806170904e-01,-6.127172969465448707e+07,-6.022591964247313887e+07
1.045293463384568213e+03,-5.388932507920261017e-01,5.226654199436183701e-01,-5.995623801248577237e+07,-6.152969361851908267e+07
1.073544638070637575e+03,-5.500901127222421749e-01,5.109240824034434469e-01,-5.861303999590775371e+07,-6.280458047875130177e+07
1.101795812756707164e+03,-5.610307321367653532e-01,4.989447454340099619e-01,-5.724277623874189705e+07,-6.404999129693737626e+07
1.130046987442776526e+03,-5.717100589100314600e-01,4.867330303730705854e-01,-5.584609986024031788e+07,-6.526535159566357732e+07
1.158298162128845888e+03,-5.821231674218194652e-01,4.742946656680878115e-01,-5.442367616987742484e+07,-6.645010161275381595e+07
1.186549336814915250e+03,-5.922652588273816798e-01,4.616354840725595543e-01,-5.297618232648874819e+07,-6.760369655955955386e+07
1.214800511500984612e+03,-6.021316632626790843e-01,4.487614197943408101e-01,-5.150430699196700752e+07,-6.872560687100219727e+07
1.243051686187054202e+03,-6.117178419837165926e-01,4.356785055975306298e-01,-5.000874997972804308e+07,-6.981531844725517929e+07
1.271302860873123564e+03,-6.210193894390078073e-01,4.223928698595142972e-01,-4.849022189816153795e+07,-7.087233288695882261e+07
1.299554035559192926e+03,-6.300320352742444507e-01,4.089107335847674274e-01,-4.694944378928320110e+07,-7.189616771186745167e+07
1.327805210245262288e+03,-6.387516462682841789e-01,3.952384073770510708e-01,-4.538714676280730963e+07,-7.288635658283364773e+07
1.356056384931331650e+03,-6.471742281996132329e-01,3.813822883716420087e-01,-4.380407162585990131e+07,-7.384244950704115629e+07
1.384307559617401239e+03,-6.552959276424796808e-01,3.673488571292580773e-01,-4.220096850855447352e+07,-7.476401303640362620e+07
1.412558734303470601e+03,-6.631130336919400792e-01,3.531446744933560145e-01,-4.057859648565345258e+07,-7.565063045705254376e+07
1.440809908989539963e+03,-6.706219796170993508e-01,3.387763784124891986e-01,-3.893772319453952461e+07,-7.650190196984399855e+07
1.469061083675609325e+03,-6.778193444418677549e-01,3.242506807294300852e-01,-3.727912444972234964e+07,-7.731744486181963980e+07
1.497312258361678914e+03,-6.847018544526042305e-01,3.095743639387699697e-01,-3.560358385410640389e+07,-7.809689366856350005e+07
1.525563433047748276e+03,-6.912663846320531436e-01,2.947542779147214187e-01,-3.391189240724673867e+07,-7.883990032740241289e+07
1.553814607733817638e+03,-6.975099600190305393e-01,2.797973366108553739e-01,-3.220484811081941053e+07,-7.954613432140377164e+07
1.582065782419887000e+03,-7.034297569933505301e-01,2.647105147335176434e-01,-3.048325557153409719e+07,-8.021528281413023174e+07
1.610316957105956362e+03,-7.090231044855356268e-01,2.495008443906717166e-01,-2.874792560171596333e+07,-8.084705077511721849e+07
1.638568131792025952e+03,-7.142874851108876877e-01,2.341754117179233596e-01,-2.699967481778404117e+07,-8.144116109604500234e+07
1.666819306478095314e+03,-7.192205362275467806e-01,2.187413534834873052e-01,-2.523932523685309663e+07,-8.199735469758281112e+07
1.695070481164164676e+03,-7.238200509182038944e-01,2.032058536738577392e-01,-2.346770387168519571e+07,-8.251539062688860297e+07
1.723321655850234038e+03,-7.280839788951766200e-01,1.875761400619509189e-01,-2.168564232421714440e+07,-8.299504614575384557e+07
1.751572830536303627e+03,-7.320104273286016650e-01,1.718594807594849005e-01,-1.989397637788862363e+07,-8.343611680938833952e+07
1.779824005222372989e+03,-7.355976615975369226e-01,1.560631807553664319e-01,-1.809354558899535611e+07,-8.383841653584598005e+07
1.808075179908442351e+03,-7.388441059638121144e-01,1.401945784418491547e-01,-1.628519287729012594e+07,-8.420177766609801352e+07
1.836326354594511713e+03,-7.417483441685062129e-01,1.242610421302317303e-01,-1.446976411605380476e+07,-8.452605101476567984e+07
1.864577529280581075e+03,-7.443091199509714873e-01,1.082699665578559095e-01,-1.264810772185659036e+07,-8.481110591153010726e+07
1.892828703966650664e+03,-7.465253374903677575e-01,9.222876938816429448e-02,-1.082107424422848411e+07,-8.505683023324227333e+07
1.921079878652720026e+03,-7.483960617697101858e-01,7.614488770557178987e-02,-8.989515955456325784e+06,-8.526313042676152289e+07
1.949331053338789388e+03,-7.499205188624735730e-01,6.002577450689716015e-02,-7.154286440722632222e+06,-8.542993152255640924e+07
1.977582228024858750e+03,-7.510980961418401991e-01,4.387889519109797187e-02,-5.316240188800033182e+06,-8.555717713910661638e+07
2.005833402710928340e+03,-7.519283424127138904e-01,2.771172404904040723e-02,-3.476232183512536343e+06,-8.564482947814998031e+07
2.034084577396997702e+03,-7.524109679666668438e-01,1.153174075502973184e-02,-1.635117496173034655e+06,-8.569286931082358956e+07
2.062335752083066836e+03,-7.525458445600218260e-01,-4.653573138185630731e-03,2.062491207962215412e+05,-8.570129595475290716e+07
2.090586926769136426e+03,-7.523330053153138852e-01,-2.083673769923071600e-02,2.047013638855493395e+06,-8.567012724214753509e+07
2.118838101455206015e+03,-7.517726445464116836e-01,-3.701027811104806026e-02,3.886323156749748625e+06,-8.559939947896713018e+07
2.147089276141275150e+03,-7.508651175076179740e-01,-5.316672815529192159e-02,5.723326302122196183e+06,-8.548916739522539079e+07
2.175340450827344739e+03,-7.496109400671059353e-01,-6.929863368650411581e-02,7.557173631142459810e+06,-8.533950408650462329e+07
2.203591625513414328e+03,-7.480107883050849393e-01,-8.539855609441644735e-02,9.387018025955446064e+06,-8.515050094675792754e+07
2.231842800199483463e+03,-7.460654980371245193e-01,-1.014590757527462916e-01,1.121201508976070955e+07,-8.492226759247989953e+07
2.260093974885553052e+03,-7.437760642631022767e-01,-1.174727954528611285e-01,1.303132353933440335e+07,-8.465493177833144367e+07
2.288345149571622187e+03,-7.411436405422775486e-01,-1.334323438207035972e-01,1.484410559480901062e+07,-8.434863930430783331e+07
2.316596324257691776e+03,-7.381695382950234086e-01,-1.493303787153954787e-01,1.664952736653026007e+07,-8.400355391454337537e+07
2.344847498943761366e+03,-7.348552260317881002e-01,-1.651595906079419418e-01,1.844675923881237954e+07,-8.361985718784984946e+07
2.373098673629830500e+03,-7.312023285098877556e-01,-1.809127059384914027e-01,2.023497625041778386e+07,-8.319774842008933425e+07
2.401349848315900090e+03,-7.272126258187642245e-01,-1.965824904506157933e-01,2.201335847158969939e+07,-8.273744449848580360e+07
2.429601023001969224e+03,-7.228880523943768122e-01,-2.121617525010961181e-01,2.378109137746981531e+07,-8.223917976798333228e+07
2.457852197688038814e+03,-7.182306959634247034e-01,-2.276433463437286808e-01,2.553736621773751453e+07,-8.170320588976186514e+07
2.486103372374108403e+03,-7.132427964181294877e-01,-2.430201753856734981e-01,2.728138038230939582e+07,-8.112979169202491641e+07
2.514354547060177538e+03,-7.079267446223371785e-01,-2.582851954149027462e-01,2.901233776294298097e+07,-8.051922301317657530e+07
2.542605721746247127e+03,-7.022850811497269863e-01,-2.734314177973212190e-01,3.072944911059122533e+07,-7.987180253750790656e+07
2.570856896432316262e+03,-6.963204949549445244e-01,-2.884519126421526414e-01,3.243193238835828379e+07,-7.918784962351617217e+07
2.599108071118385851e+03,-6.900358219785028835e-01,-3.033398119342188282e-01,3.411901311991167814e+07,-7.846770012498232722e+07
2.627359245804455441e+03,-6.834340436863247659e-01,-3.180883126317488041e-01,3.578992473320842534e+07,-7.771170620493552089e+07
2.655610420490524575e+03,-6.765182855448217403e-01,-3.326906797283926687e-01,3.744390889939796180e+07,-7.692023614263512194e+07
2.683861595176594165e+03,-6.692918154324363211e-01,-3.471402492781324178e-01,3.908021586676774919e+07,-7.609367413370358944e+07
2.712112769862663299e+03,-6.617580419885945586e-01,-3.614304313818051395e-01,4.069810478960128129e+07,-7.523242008354556561e+07
2.740363944548732889e+03,-6.539205129010408069e-01,-3.755547131339913580e-01,4.229684405182315409e+07,-7.433688939419043064e+07
2.768615119234802478e+03,-6.457829131325543148e-01,-3.895066615290310175e-01,4.387571158530829847e+07,-7.340751274469803274e+07
2.796866293920871612e+03,-6.373490630880620511e-01,-4.032799263249717825e-01,4.543399518273792416e+07,-7.244473586526852846e+07
2.825117468606941202e+03,-6.286229167231919268e-01,-4.168682428642707660e-01,4.697099280488773435e+07,-7.144901930519938469e+07
2.853368643293010791e+03,-6.196085595953277902e-01,-4.302654348501004367e-01,4.848601288223805279e+07,-7.042083819483424723e+07
2.881619817979079926e+03,-6.103102068582475503e-01,-4.434654170771409887e-01,4.997837461080008000e+07,-6.936068200164952874e+07
2.909870992665149515e+03,-6.007322012014468804e-01,-4.564621981157642172e-01,5.144740824205577374e+07,-6.826905428062619269e+07
2.938122167351218650e+03,-5.908790107352718257e-01,-4.692498829485414746e-01,5.289245536691295356e+07,-6.714647241905556619e+07
2.966373342037288239e+03,-5.807552268229948522e-01,-4.818226755580448106e-01,5.431286919358174503e+07,-6.599346737592870742e+07
2.994624516723357829e+03,-5.703655618609970723e-01,-4.941748814649245536e-01,5.570801481928140670e+07,-6.481058341606060416e+07
3.022875691409426963e+03,-5.597148470082243810e-01,-5.063009102152905561e-01,5.707726949569153786e+07,-6.359837783910059929e+07
3.051126866095496553e+03,-5.488080298661099921e-01,-5.181952778164423679e-01,5.842002288806494325e+07,-6.235742070358187705e+07
3.079378040781565687e+03,-5.376501721101680786e-01,-5.298526091200241872e-01,5.973567732792320102e+07,-6.108829454616353661e+07
3.107629215467635277e+03,-5.262464470744756539e-01,-5.412676401517166891e-01,6.102364805926062167e+07,-5.979159409621870518e+07
3.135880390153704866e+03,-5.146021372902781499e-01,-5.524352203865948718e-01,6.228336347818496823e+07,-5.846792598592385650e+07
3.164131564839774001e+03,-5.027226319799619203e-01,-5.633503149693226408e-01,6.351426536592821777e+07,-5.711790845600364357e+07
3.192382739525843590e+03,-4.906134245076526068e-01,-5.740080068783750544e-01,6.471580911516365409e+07,-5.574217105728680640e+07
3.220633914211912725e+03,-4.782801097877126817e-01,-5.844034990335121860e-01,6.588746394956940413e+07,-5.434135434822875261e+07
3.248885088897982314e+03,-4.657283816524118158e-01,-5.945321163457594205e-01,6.702871313658280671e+07,-5.291610958855595440e+07
3.277136263584051903e+03,-4.529640301800694768e-01,-6.043893077091736510e-01,6.813905419329258800e+07,-5.146709842918847501e+07
3.305387438270121038e+03,-4.399929389849638328e-01,-6.139706479337101452e-01,6.921799908542060852e+07,-4.999499259859578311e+07
3.333638612956190627e+03,-4.268210824703188577e-01,-6.232718396185298326e-01,7.026507441934756935e+07,-4.850047358574151993e+07
3.361889787642260217e+03,-4.134545230456891374e-01,-6.322887149651164052e-01,7.127982162714095414e+07,-4.698423231977292150e+07
3.390140962328329351e+03,-3.998994083100643193e-01,-6.410172375296053771e-01,7.226179714454714954e+07,-4.544696884660944343e+07
3.418392137014398941e+03,-3.861619682020265287e-01,-6.494535039137537824e-01,7.321057258191272616e+07,-4.388939200258562714e+07
3.446643311700468075e+03,-3.722485121183018997e-01,-6.575937453940055022e-01,7.412573488800327480e+07,-4.231221908530273288e+07
3.474894486386537665e+03,-3.581654260020445957e-01,-6.654343294881460702e-01,7.500688650669197738e+07,-4.071617552184243500e+07
3.503145661072607254e+03,-3.439191694022087908e-01,-6.729717614590561281e-01,7.585364552649258077e+07,-3.910199453449653089e+07
