time,x,y,vx,vy
0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000444e-01,-1.585635250531241298e+08,0.000000000000000000e+00
2.825117468606941173e+01,-2.994388933900236568e-02,2.983842260987545902e-01,-1.577176776512804031e+08,-1.703042047244022042e+07
5.650234937213882347e+01,-5.956651901491927248e-02,2.935585515519791855e-01,-1.551676091639583111e+08,-3.392880161463025957e+07
8.475352405820822810e+01,-8.854634247068582376e-02,2.855606096811549310e-01,-1.509181644429928958e+08,-5.056005122783537209e+07
1.130046987442776469e+02,-1.165630656909419638e-01,2.744537165776441690e-01,-1.449779785929235816e+08,-6.678669652141812444e+07
1.412558734303470658e+02,-1.432983997353852179e-01,2.603274320895646587e-01,-1.373599688252393007e+08,-8.246770235041804612e+07
1.695070481164164562e+02,-1.684369258899072186e-01,2.432983459301943374e-01,-1.280820461584793776e+08,-9.745726625029505789e+07
1.977582228024858750e+02,-1.916671171215182379e-01,2.235110939460307200e-01,-1.171680743539261520e+08,-1.116035844131732583e+08
2.260093974885552939e+02,-2.126825655781129365e-01,2.011396105406940138e-01,-1.046491135704379827e+08,-1.247475847618380487e+08
2.542605721746247127e+02,-2.311834739947487838e-01,1.763886237535333412e-01,-9.056499829472424090e+07,-1.367216262725742757e+08
2.825117468606941316e+02,-2.468784794897848911e-01,1.494953993213921362e-01,-7.496631389102645218e+07,-1.473481680979019105e+08
3.107629215467635504e+02,-2.594868919498753979e-01,1.207317388958341481e-01,-5.791685458428443968e+07,-1.564384184663408101e+08
3.390140962328329124e+02,-2.687414468147415469e-01,9.040623499397701379e-02,-3.949666914633871615e+07,-1.637909827035798430e+08
3.672652709189023312e+02,-2.743916946679944013e-01,5.886678057051064616e-02,-1.980583078708773106e+07,-1.691905433864851296e+08
3.955164456049717501e+02,-2.762081791013254461e-01,2.650332334570121642e-02,1.030892726609956473e+06,-1.724066256483613253e+08
4.237676202910411689e+02,-2.739875918871063076e-01,-6.249157220641049677e-03,2.285824030350647494e+07,-1.731925301078329384e+08
4.520187949771105878e+02,-2.675591434149187098e-01,-3.890749129728490047e-02,4.548323118844971061e+07,-1.712845596065662503e+08
4.802699696631800066e+02,-2.567924506499815185e-01,-7.093704814219978227e-02,6.866611574891251326e+07,-1.664017315101488531e+08
5.085211443492494254e+02,-2.416073303599285682e-01,-1.017484670711553130e-01,9.210897403117235005e+07,-1.582462670122984052e+08
5.367723190353187874e+02,-2.219860005566359207e-01,-1.306945698151693869e-01,1.154412426653270721e+08,-1.465053029650539756e+08
5.650234937213882631e+02,-1.979883508097389222e-01,-1.570677361238126402e-01,1.382011754375442863e+08,-1.308545147221962959e+08
5.932746684074576251e+02,-1.697711619827281249e-01,-1.800981829487901809e-01,1.598118346972565055e+08,-1.109647308171146512e+08
6.215258430935271008e+02,-1.376124690662606787e-01,-1.989538382231706981e-01,1.795495895762386024e+08,-8.651327184197592735e+07
6.497770177795964628e+02,-1.019427175344630732e-01,-2.127429059379545573e-01,1.965021239650132358e+08,-5.720286405717642605e+07
6.780281924656658248e+02,-6.338504840223314896e-02,-2.205208946966550065e-01,2.095113841152066290e+08,-2.279297230958616734e+07
7.062793671517353005e+02,-2.280810595037539856e-02,-2.213050463949794155e-01,2.170942634607943594e+08,1.684788403518866748e+07
7.345305418378046625e+02,1.860354314489889166e-02,-2.141011952893108194e-01,2.173292512363968790e+08,6.165295744339109957e+07
7.627817165238741381e+02,5.925347196127315336e-02,-1.979520474541134889e-01,2.076890199371368289e+08,1.112000732014236301e+08
7.910328912099435001e+02,9.699914375237340958e-02,-1.720238323958697413e-01,1.847834613576238751e+08,1.644207790360202789e+08
8.192840658960129758e+02,1.289577215025808354e-01,-1.357655263885191865e-01,1.439479041027742922e+08,2.190252116571108699e+08
8.475352405820823378e+02,1.512137301936750666e-01,-8.921582430189954616e-02,7.855493885839590430e+07,2.702572399453467131e+08
8.757864152681518135e+02,1.583590960911438195e-01,-3.364247735084076318e-02,-2.115393758479863405e+07,3.078443217716305256e+08
