time,x,y,vx,vy
0.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000222e-01,-2.079541135464963019e+08,0.000000000000000000e+00
1.077065937460564271e+01,-1.493469448632787216e-02,1.489257145507560387e-01,-2.064625767532545030e+08,-2.982507374745799601e+07
2.154131874921128542e+01,-2.964218675401222164e-02,1.456911561149542844e-01,-2.019462553806434572e+08,-5.973261975902661681e+07
3.231197812381692813e+01,-4.391860830939028904e-02,1.402924883443280035e-01,-1.942004601359713972e+08,-8.990247485197040439e+07
4.308263749842257084e+01,-5.752300142364680235e-02,1.327175421170302128e-01,-1.828206500527795553e+08,-1.204782542306376249e+08
5.385329687302821355e+01,-7.016326191045382799e-02,1.229395162010247650e-01,-1.672055199570041299e+08,-1.515312109827193320e+08
6.462395624763385626e+01,-8.149613912597075682e-02,1.109169772540864463e-01,-1.465570004669764042e+08,-1.830602360792493820e+08
7.539461562223949898e+01,-9.112590594021106882e-02,9.659650476367286076e-02,-1.198396452456924319e+08,-2.149998850315926075e+08
8.616527499684514169e+01,-9.855758650905506457e-02,7.995623630240865365e-02,-8.500884490080216527e+07,-2.472837108441202641e+08
9.693593437145078440e+01,-1.030907805633940605e-01,6.099237955407049716e-02,-3.868575623390589654e+07,-2.794327089599103928e+08
1.077065937460564271e+02,-1.037190875492178671e-01,3.975347466823470760e-02,2.489332501500317454e+07,-3.100654257732133865e+08
1.184772531206620698e+02,-9.881837178585660408e-02,1.647749653830129710e-02,1.175335304158855677e+08,-3.349816685852645636e+08
1.292479124952677125e+02,-8.544752060495504342e-02,-8.022795522626887180e-03,2.680613289784732163e+08,-3.395306808645653129e+08
1.400185718698733695e+02,-5.653382646154593572e-02,-3.022412167017514070e-02,5.855691163801128864e+08,-2.382445091802555323e+08
