time,x,y,vx,vy
0.000000000000000000e+00,0.000000000000000000e+00,9.832899999999999974e-01,-3.029090109819997087e+04,0.000000000000000000e+00
3.171275150514080888e+05,-6.416693614222727937e-02,9.812300451189226447e-01,-3.022731170679741263e+04,-1.944142980701644547e+03
6.342550301028161775e+05,-1.280647736620984523e-01,9.750563850761509999e-01,-3.003702914197460268e+04,-3.879717013938715809e+03
9.513825451542242663e+05,-1.914258081364839104e-01,9.647962096337893145e-01,-2.972097137303724958e+04,-5.798213220044119225e+03
1.268510060205632355e+06,-2.539849217934028736e-01,9.504946524421252763e-01,-2.928065986733438695e+04,-7.691218992568574322e+03
1.585637575257040560e+06,-3.154808520896522084e-01,9.322145371696786142e-01,-2.871820874398893284e+04,-9.550464817647794916e+03
1.902765090308448533e+06,-3.756574329079105379e-01,9.100360257612414294e-01,-2.803630981197165602e+04,-1.136786972018292363e+04
2.219892605359856505e+06,-4.342647998474411519e-01,8.840561721811942553e-01,-2.723821368862587406e+04,-1.313558491988809328e+04
2.537020120411264710e+06,-4.910605515499303908e-01,8.543883858515520791e-01,-2.632770724276867259e+04,-1.484603531128802570e+04
2.854147635462672915e+06,-5.458108595657170659e-01,8.211618097740016609e-01,-2.530908764917989538e+04,-1.649195841885390837e+04
3.171275150514081120e+06,-5.982915199135024897e-01,7.845206190207582031e-01,-2.418713337783251336e+04,-1.806644052066485165e+04
3.488402665565488860e+06,-6.482889402048610528e-01,7.446232458807496846e-01,-2.296707247099923188e+04,-1.956294968018480722e+04
3.805530180616897065e+06,-6.956010569786985620e-01,7.016415384481395900e-01,-2.165454848397673777e+04,-2.097536547479207366e+04
4.122657695668305270e+06,-7.400381787047605187e-01,6.557598598347823549e-01,-2.025558448039786890e+04,-2.229800526040322802e+04
4.439785210719713010e+06,-7.814237507537095118e-01,6.071741354745640029e-01,-1.877654548095476275e+04,-2.352564686271983010e+04
4.756912725771121681e+06,-8.195950394787007154e-01,5.560908561659403393e-01,-1.722409976503025246e+04,-2.465354763616644777e+04
5.074040240822529420e+06,-8.544037333949400237e-01,5.027260445718071402e-01,-1.560517941860390965e+04,-2.567745988043556281e+04
5.391167755873937160e+06,-8.857164602655228647e-01,4.473041928677447543e-01,-1.392694050939039516e+04,-2.659364265076971060e+04
5.708295270925345831e+06,-9.134152196912705968e-01,3.900571791071324457e-01,-1.219672325213551812e+04,-2.739887004088416870e+04
6.025422785976753570e+06,-9.373977315481875072e-01,3.312231696626449229e-01,-1.042201250408974374e+04,-2.809043605610033774e+04
6.342550301028162241e+06,-9.575777013090570611e-01,2.710455148175007767e-01,-8.610398903717155918e+03,-2.866615622830855864e+04
6.659677816079569981e+06,-9.738850039178978957e-01,2.097716442267416326e-01,-6.769540935533424090e+03,-2.912436615345305108e+04
6.976805331130977720e+06,-9.862657884516246032e-01,1.476519685595300280e-01,-4.907128171459180521e+03,-2.946391715612681583e+04
7.293932846182386391e+06,-9.946825062982316279e-01,8.493879317908836768e-02,-3.030845905068784305e+03,-2.968416930451874214e+04
7.611060361233794130e+06,-9.991138660028333618e-01,2.188524922846059664e-02,-1.148341360409403478e+03,-2.978498201243904987e+04
7.928187876285201870e+06,-9.995547182812508646e-01,-4.125575302141198247e-02,7.328083775956688442e+02,-2.976670247364692841e+04
8.245315391336610541e+06,-9.960158749763619035e-01,-1.042325442294745330e-01,2.605126598094197107e+03,-2.963015217749819931e+04
8.562442906388018280e+06,-9.885238659372641568e-01,-1.667956856444254288e-01,4.461265284190085367e+03,-2.937661175438203281e+04
8.879570421439426020e+06,-9.771206379387313845e-01,-2.286989250855382683e-01,6.294031468216010580e+03,-2.900780439494465099e+04
9.196697936490833759e+06,-9.618631998327038524e-01,-2.897001164727276423e-01,8.096411601513837923e+03,-2.852587807916609017e+04
9.513825451542243361e+06,-9.428232181396394296e-01,-3.495621006235236083e-01,9.861593944012813154e+03,-2.793338684044854017e+04
9.830952966593651101e+06,-9.200865672510100124e-01,-4.080535454981428223e-01,1.158298900234210669e+04,-2.723327127648486203e+04
1.014808048164505884e+07,-8.937528383309926161e-01,-4.649497445067992119e-01,1.325424806579869801e+04,-2.642883850329026973e+04
1.046520799669646658e+07,-8.639348108816350402e-01,-5.200333718920185921e-01,1.486927990714732005e+04,-2.552374173186921325e+04
1.078233551174787432e+07,-8.307578907776730359e-01,-5.730951945602935638e-01,1.642226572995732568e+04,-2.452195962899557708e+04
1.109946302679928392e+07,-7.943595183909151203e-01,-6.239347400600453453e-01,1.790767245603637275e+04,-2.342777560491740587e+04
1.141659054185069166e+07,-7.548885502156753580e-01,-6.723609206855325482e-01,1.932026445560524007e+04,-2.224575715182783097e+04
1.173371805690209940e+07,-7.125046171818453233e-01,-7.181926139287984068e-01,2.065511382931024855e+04,-2.098073533800120276e+04
1.205084557195350714e+07,-6.673774626062901616e-01,-7.612591997043016701e-01,2.190760935515485107e+04,-1.963778454386483281e+04
1.236797308700491488e+07,-6.196862624913300754e-01,-8.014010549345138568e-01,2.307346421513604218e+04,-1.822220250820607180e+04
1.268510060205632448e+07,-5.696189306357953841e-01,-8.384700062108593199e-01,2.414872261598962359e+04,-1.673949073540665631e+04
1.300222811710773222e+07,-5.173714107836948628e-01,-8.723297413347328444e-01,2.512976541618365081e+04,-1.519533529821685261e+04
1.331935563215913996e+07,-4.631469578017113342e-01,-9.028561806000748868e-01,2.601331486735242652e+04,-1.359558805526244032e+04
1.363648314721054770e+07,-4.071554096528992583e-01,-9.299378087044598562e-01,2.679643857293057954e+04,-1.194624828831904961e+04
1.395361066226195544e+07,-3.496124517230196904e-01,-9.534759681724170877e-01,2.747655276001687162e+04,-1.025344475146374316e+04
1.427073817731336318e+07,-2.907388748605146400e-01,-9.733851151454194772e-01,2.805142495264749596e+04,-8.523418112575269333e+03
1.458786569236477278e+07,-2.307598283133555361e-01,-9.895930383404129005e-01,2.851917612585491588e+04,-6.762503757334347029e+03
1.490499320741618052e+07,-1.699040685877788170e-01,-1.002041041905731511e+00,2.887828241028310367e+04,-4.977114916892637666e+03
1.522212072246758826e+07,-1.084032051167731769e-01,-1.010684092812603296e+00,2.912757640686369632e+04,-3.173726072741138069e+03
1.553924823751899600e+07,-4.649094351140724973e-02,-1.015490933315033928e+00,2.926624816025742621e+04,-1.358856586017092695e+03
1.585637575257040374e+07,1.559767292335976878e-02,-1.016444158893541339e+00,2.929384582854850305e+04,4.609455064618723554e+02
1.617350326762181334e+07,7.762702279404506966e-02,-1.013540261971799916e+00,2.921027607515334239e+04,2.279119590761150903e+03
1.649063078267322108e+07,1.393616667734827452e-01,-1.006789641562611193e+00,2.901580419716930555e+04,4.089108532597640988e+03
1.680775829772462696e+07,2.005671077510617628e-01,-9.962165788635255481e-01,2.871105399253831638e+04,5.884374756876833089e+03
1.712488581277603656e+07,2.610105504167329893e-01,-9.818591786857358006e-01,2.829700735652633011e+04,7.658416414191939111e+03
1.744201332782744616e+07,3.204616596845031307e-01,-9.637692764653434940e-01,2.777500358621368287e+04,9.404783696781631079e+03
1.775914084287885204e+07,3.786933173036125533e-01,-9.420123104765899535e-01,2.714673836004660916e+04,1.111709536341496278e+04
1.807626835793026164e+07,4.354823759236255976e-01,-9.166671587449599645e-01,2.641426234811468021e+04,1.278905552830574015e+04
1.839339587298166752e+07,4.906104097739302228e-01,-8.878259400470813745e-01,2.557997939779701119e+04,1.441447076344801462e+04
1.871052338803307712e+07,5.438644609895612048e-01,-8.555937782868584529e-01,2.464664422887462206e+04,1.598726755670385683e+04
1.902765090308448672e+07,5.950377804648778746e-01,-8.200885294562405559e-01,2.361735956226243434e+04,1.750151015955895855e+04
1.934477841813589260e+07,6.439305619459870789e-01,-7.814404703272082031e-01,2.249557259730598889e+04,1.895141884869830392e+04
1.966190593318730220e+07,6.903506678835004129e-01,-7.397919479818997335e-01,2.128507074426555846e+04,2.033138861445175280e+04
1.997903344823870808e+07,7.341143453613699910e-01,-6.952969892730506141e-01,1.998997651133430918e+04,2.163600827674625543e+04
2.029616096329011768e+07,7.750469301975556613e-01,-6.481208693198247106e-01,1.861474143948165874e+04,2.286008001551961570e+04
2.061328847834152728e+07,8.129835370808630168e-01,-5.984396381873506865e-01,1.716413897376547175e+04,2.399863928766181562e+04
2.093041599339293316e+07,8.477697333687387315e-01,-5.464396049742255013e-01,1.564325615670967272e+04,2.504697508654567719e+04
2.124754350844434276e+07,8.792621939266292985e-01,-4.923167786432448567e-01,1.405748402810174957e+04,2.600065048320400820e+04
2.156467102349574864e+07,9.073293341448028793e-01,-4.362762650785773633e-01,1.241250661632967240e+04,2.685552337035883829e+04
2.188179853854715824e+07,9.318519180277708980e-01,-3.785316200391061758e-01,1.071428840935125663e+04,2.760776731199799178e+04
2.219892605359856784e+07,9.527236380194510357e-01,-3.193041579039668787e-01,8.969060198765790119e+03,2.825389238225217923e+04
2.251605356864997372e+07,9.698516630093724222e-01,-2.588222163729165248e-01,7.183303198410987534e+03,2.879076585822453126e+04
2.283318108370138332e+07,9.831571507670615606e-01,-1.973203775912224511e-01,5.363731349594258973e+03,2.921563261247506671e+04
2.315030859875278920e+07,9.925757208792662656e-01,-1.350386465154880256e-01,3.517271738603584708e+03,2.952613503242234219e+04
2.346743611380419880e+07,9.980578841239733379e-01,-7.222158772173936647e-02,1.651043068607090845e+03,2.972033227638885000e+04
2.378456362885560840e+07,9.995694241124886137e-01,-9.117422277902752920e-03,-2.276678525301397258e+02,2.979671865981763403e+04
