time,x,y,vx,vy
0.000000000000000000e+00,0.000000000000000000e+00,9.832899999999999974e-01,-3.029090109819997087e+04,0.000000000000000000e+00
6.374583383356586564e+05,-1.290721088285316509e-01,9.749578685746155271e-01,-3.004071825213089687e+04,-3.861330415828880177e+03
1.274916676671317313e+06,-2.559850275217558369e-01,9.502472809244455476e-01,-2.928686582120313324e+04,-7.653336477525886949e+03
1.912375015006975969e+06,-3.786152131919319208e-01,9.096040575763693070e-01,-2.804498180624115048e+04,-1.130737271568291908e+04
2.549833353342634626e+06,-4.949281520916613553e-01,8.537606869915879138e-01,-2.634075461267899300e+04,-1.475835125594488454e+04
3.187291691678293049e+06,-6.030196131667556747e-01,7.837174432325975104e-01,-2.420903663880209206e+04,-1.794636438160388207e+04
3.824750030013951939e+06,-7.011524296638530496e-01,7.007170548414304312e-01,-2.169266966629222588e+04,-2.081806024095625617e+04
4.462208368349610828e+06,-7.877877305474106917e-01,6.062141166797088143e-01,-1.884109739113748583e+04,-2.332771848252480413e+04
5.099666706685269251e+06,-8.616098916907257710e-01,5.018406120457795661e-01,-1.570884895933770349e+04,-2.543799701613383513e+04
5.737125045020927675e+06,-9.215448432883179830e-01,3.893689803916147718e-01,-1.235397777317505825e+04,-2.712034572248913537e+04
6.374583383356586099e+06,-9.667717209565567238e-01,2.706741318952133324e-01,-8.836532991841288094e+03,-2.835510509667973020e+04
7.012041721692245454e+06,-9.967281557170349915e-01,1.476956896838582112e-01,-5.217128759277827157e+03,-2.913132552239891811e+04
7.649500060027903877e+06,-1.011109743238220782e+00,2.240155599589735425e-02,-1.555660371760845919e+03,-2.944635501826687323e+04
8.286958398363562301e+06,-1.009864405577294066e+00,-1.032463248903283254e-01,2.089800497588430517e+03,-2.930524963724181362e+04
8.924416736699221656e+06,-9.931824582841107807e-01,-2.273233722379507382e-01,5.663915896256206906e+03,-2.872006172698923911e+04
9.561875075034879148e+06,-9.614832282522295381e-01,-3.479705401166749423e-01,9.114795889167087807e+03,-2.770905796253617518e+04
1.019933341337053850e+07,-9.153990440529571337e-01,-4.634190613506349865e-01,1.239452758187863947e+04,-2.629591267465332567e+04
