time,x,y,vx,vy
0.000000000000000000e+00,0.000000000000000000e+00,9.832899999999999974e-01,-3.029090109819997087e+04,0.000000000000000000e+00
1.264696903712028143e+05,-2.560464624324014851e-02,9.829620921838823078e-01,-3.028079636635474526e+04,-7.758000449516694061e+02
2.529393807424056286e+05,-5.119221273073401579e-02,9.819785255720020478e-01,-3.025049442279030700e+04,-1.551056573241525939e+03
3.794090711136084283e+05,-7.674563376586839014e-02,9.803399891553605805e-01,-3.020001852046741260e+04,-2.325226673014143671e+03
5.058787614848112571e+05,-1.022478698495762756e-01,9.780476305169235607e-01,-3.012940738022063306e+04,-3.097768407757610930e+03
6.323484518560140859e+05,-1.276819207392589084e-01,9.751030548017358690e-01,-3.003871514666904841e+04,-3.868141301855080656e+03
7.588181422272168566e+05,-1.530308384630350016e-01,9.715083232774593958e-01,-2.992801132663539101e+04,-4.635806823884983714e+03
8.852878325984197436e+05,-1.782777402745830131e-01,9.672659514875451281e-01,-2.979738071020419738e+04,-5.400228866930109689e+03
1.011757522969622514e+06,-2.034058215339668019e-01,9.623789069998835988e-01,-2.964692327458601721e+04,-6.160874225164232485e+03
1.138227213340825401e+06,-2.283983684999939534e-01,9.568506067543817162e-01,-2.947675407099048607e+04,-6.917213065995458237e+03
1.264696903712028172e+06,-2.532387710198389930e-01,9.506849140135248399e-01,-2.928700309474631285e+04,-7.668719397057948299e+03
1.391166594083230942e+06,-2.779105351018831827e-01,9.438861349205712736e-01,-2.907781513894037926e+04,-8.414871527358138337e+03
1.517636284454433713e+06,-3.023972953579632250e-01,9.364590146706127660e-01,-2.884934963188155234e+04,-9.155152521897851329e+03
1.644105974825636484e+06,-3.266828273014967254e-01,9.284087333002896125e-01,-2.860178045872694565e+04,-9.889050649114858970e+03
1.770575665196839487e+06,-3.507510594882479737e-01,9.197409011025099446e-01,-2.833529576763945079e+04,-1.061605982050124658e+04
1.897045355568042258e+06,-3.745860854868237610e-01,9.104615536730442660e-01,-2.805009776087506907e+04,-1.133568002178145071e+04
