time,x,y,vx,vy
0.000000000000000000e+00,0.000000000000000000e+00,9.832899999999999974e-01,-3.029090109819997087e+04,0.000000000000000000e+00
1.264696903712028143e+05,-2.560464624315307927e-02,9.829620921738523309e-01,-3.028079636604552434e+04,-7.758000686844084157e+02
2.529393807424056286e+05,-5.119221273003678879e-02,9.819785255318734807e-01,-3.025049442155224460e+04,-1.551056620721446052e+03
3.794090711136084283e+05,-7.674563376351252464e-02,9.803399890650468240e-01,-3.020001851767672269e+04,-2.325226744269910341e+03
5.058787614848112571e+05,-1.022478698439832079e-01,9.780476303563080398e-01,-3.012940737524662109e+04,-3.097768502831660498e+03
6.323484518560140859e+05,-1.276819207283130531e-01,9.751030545506604863e-01,-3.003871513887140100e+04,-3.868141420802945049e+03
7.588181422272168566e+05,-1.530308384440744740e-01,9.715083229157134292e-01,-2.992801131536151297e+04,-4.635806966774392095e+03
8.852878325984197436e+05,-1.782777402443880554e-01,9.672659509948563494e-01,-2.979738069478663238e+04,-5.400229033839877047e+03
1.011757522969622514e+06,-2.034058214887463079e-01,9.623789063559086143e-01,-2.964692325433993392e+04,-6.160874416182934510e+03
1.138227213340825401e+06,-2.283983684353696197e-01,9.568506059386990836e-01,-2.947675404521128439e+04,-6.917213281219898818e+03
1.264696903712028172e+06,-2.532387709308277501e-01,9.506849130056279629e-01,-2.928700306270731744e+04,-7.668719636591429662e+03
1.391166594083230942e+06,-2.779105349828774885e-01,9.438861336998645157e-01,-2.907781509989067854e+04,-8.414871791308542015e+03
1.517636284454433713e+06,-3.023972952027097483e-01,9.364590132164076763e-01,-2.884934958504396127e+04,-9.155152810375535410e+03
1.644105974825636484e+06,-3.266828271030733921e-01,9.284087315918043704e-01,-2.860178040329612486e+04,-9.889050962230379810e+03
1.770575665196839487e+06,-3.507510592390393200e-01,9.197408991188700256e-01,-2.833529570278018582e+04,-1.061606015836292318e+04
1.897045355568042258e+06,-3.745860851784952317e-01,9.104615513932856619e-01,-2.805009768572072426e+04,-1.133568038449277265e+04
2.023515045939245028e+06,-3.981721752898089717e-01,9.005771439994613159e-01,-2.774640238487804891e+04,-1.204741812271178060e+04
2.149984736310448032e+06,-4.214937883344712644e-01,8.900945468435470520e-01,-2.742443942580281509e+04,-1.275078676402048040e+04
2.276454426681650802e+06,-4.445355828529223285e-01,8.790210381419427677e-01,-2.708445177538008647e+04,-1.344530701071369913e+04
2.402924117052853573e+06,-4.672824283321838634e-01,8.673642980741115283e-01,-2.672669547716564557e+04,-1.413050726809765729e+04
2.529393807424056344e+06,-4.897194161443492177e-01,8.551324021089220517e-01,-2.635143937403924792e+04,-1.480592402504900565e+04
2.655863497795259114e+06,-5.118318702454401903e-01,8.423338140141510832e-01,-2.595896481871978904e+04,-1.547110222295552194e+04
2.782333188166461885e+06,-5.336053576246051477e-01,8.289773785591513233e-01,-2.554956537270584886e+04,-1.612559561260828195e+04
2.908802878537664656e+06,-5.550256984941175364e-01,8.150723139210415136e-01,-2.512354649422159491e+04,-1.676896709864597506e+04
3.035272568908867426e+06,-5.760789762111309109e-01,8.006282038050995808e-01,-2.468122521576285726e+04,-1.740078907118361894e+04
3.161742259280070197e+06,-5.967515469226536418e-01,7.856549892903363919e-01,-2.422292981185098688e+04,-1.802064372428992647e+04
3.288211949651272967e+06,-6.170300489257271037e-01,7.701629604115006744e-01,-2.374899945761309937e+04,-1.862812336101013352e+04
3.414681640022476204e+06,-6.369014117353157811e-01,7.541627474890034710e-01,-2.325978387881633535e+04,-1.922283068466378973e+04
3.541151330393678974e+06,-6.563528648529524112e-01,7.376653122184689826e-01,-2.275564299399093215e+04,-1.980437907617996461e+04
3.667621020764881745e+06,-6.753719462297212983e-01,7.206819385318049553e-01,-2.223694654928211094e+04,-2.037239285726532034e+04
3.794090711136084516e+06,-6.939465104177040544e-01,7.032242232418425276e-01,-2.170407374667427939e+04,-2.092650753923336015e+04
3.920560401507287286e+06,-7.120647364045563643e-01,6.853040664827304562e-01,-2.115741286623243650e+04,-2.146637005735594357e+04
4.047030091878490057e+06,-7.297151351264324903e-01,6.669336619583684511e-01,-2.059736088300553820e+04,-2.199163899063051576e+04
4.173499782249692827e+06,-7.468865566550153545e-01,6.481254870112435063e-01,-2.002432307923445478e+04,-2.250198476688861047e+04
4.299969472620896064e+06,-7.635681970549529352e-01,6.288922925240821860e-01,-1.943871265250343640e+04,-2.299708985320266584e+04
4.426439162992098369e+06,-7.797496049085402836e-01,6.092470926667541420e-01,-1.884095032046855704e+04,-2.347664893157911865e+04
4.552908853363301605e+06,-7.954206875050198189e-01,5.892031545008598048e-01,-1.823146392278958592e+04,-2.394036905995606139e+04
4.679378543734503910e+06,-8.105717166923942507e-01,5.687739874544087693e-01,-1.761068802088317170e+04,-2.438796981855306876e+04
4.805848234105707146e+06,-8.251933343901722839e-01,5.479733326789396619e-01,-1.697906349610510006e+04,-2.481918344164960581e+04
4.932317924476909451e+06,-8.392765577619678563e-01,5.268151523013607784e-01,-1.633703714695807867e+04,-2.523375493489587825e+04
5.058787614848112687e+06,-8.528127840473793686e-01,5.053136185826844207e-01,-1.568506128590851222e+04,-2.563144217828688852e+04
5.185257305219314992e+06,-8.657937950530595339e-01,4.834831029957167292e-01,-1.502359333638198405e+04,-2.601201601495585055e+04
5.311726995590518229e+06,-8.782117613033610937e-01,4.613381652336103200e-01,-1.435309543049166314e+04,-2.637526032596781079e+04
5.438196685961721465e+06,-8.900592458514084981e-01,4.388935421610350440e-01,-1.367403400803791919e+04,-2.672097209131741693e+04
5.564666376332923770e+06,-9.013292077518900713e-01,4.161641367195329511e-01,-1.298687941729989143e+04,-2.704896143735710575e+04
5.691136066704127006e+06,-9.120150051973002769e-01,3.931650067984263641e-01,-1.229210551812178892e+04,-2.735905167090262694e+04
5.817605757075329311e+06,-9.221103983197768139e-01,3.699113540824330304e-01,-1.159018928777772999e+04,-2.765107930028248302e+04
5.944075447446532547e+06,-9.316095516610811700e-01,3.464185128869014529e-01,-1.088161043007906483e+04,-2.792489404361612469e+04
6.070545137817734852e+06,-9.405070363136491807e-01,3.227019389913434733e-01,-1.016685098816807840e+04,-2.818035882462256995e+04
6.197014828188938089e+06,-9.487978317360118430e-01,2.987771984816656179e-01,-9.446394961420781328e+03,-2.841734975627685708e+04
6.323484518560140394e+06,-9.564773272462295806e-01,2.746599566112400415e-01,-8.720727926860490697e+03,-2.863575611264577310e+04
6.449954208931343630e+06,-9.635413231973154469e-01,2.503659666906568049e-01,-7.990336665461836674e+03,-2.883548028924737082e+04
6.576423899302545935e+06,-9.699860318389339486e-01,2.259110590157162313e-01,-7.255708793703195624e+03,-2.901643775229022503e+04
6.702893589673749171e+06,-9.758080778699582680e-01,2.013111298429020868e-01,-6.517332400702965970e+03,-2.917855697715859424e+04
6.829363280044952407e+06,-9.810044986867364480e-01,1.765821304212743525e-01,-5.775695691253105906e+03,-2.932177937651855973e+04
6.955832970416154712e+06,-9.855727443321791181e-01,1.517400560893904238e-01,-5.031286635040651163e+03,-2.944605921842779208e+04
7.082302660787357949e+06,-9.895106771510163712e-01,1.268009354455434390e-01,-4.284592622325720185e+03,-2.955136353483786661e+04
7.208772351158560254e+06,-9.928165711567829010e-01,1.017808195992750409e-01,-3.536100126322252436e+03,-2.963767202088309568e+04
7.335242041529763490e+06,-9.954891111162987860e-01,7.669577151177948970e-02,-2.786294372505362844e+03,-2.970497692535372698e+04
7.461711731900965795e+06,-9.975273913575860574e-01,5.156185543248792413e-02,-2.035659015047623825e+03,-2.975328293275386750e+04
7.588181422272169031e+06,-9.989309143073270558e-01,2.639512643877147194e-02,-1.284675820564578771e+03,-2.978260703734609706e+04
7.714651112643371336e+06,-9.996995887641094702e-01,1.211620085373504982e-03,-5.338243593288779039e+02,-2.979297840958500456e+04
7.841120803014574572e+06,-9.998337279138360678e-01,-2.397265783017055868e-02,2.164182959088450389e+02,-2.978443825534122516e+04
7.967590493385776877e+06,-9.993340470937781550e-01,-4.914174138019421212e-02,9.655778633743260571e+02,-2.975703966831577418e+04
8.094060183756980114e+06,-9.982016613118466219e-01,-7.427971449205870991e-02,1.713183137901554346e+03,-2.971084747604181393e+04
8.220529874128183350e+06,-9.964380825277275866e-01,-9.937072080054951129e-02,2.458766268663579922e+03,-2.964593807986725733e+04
8.346999564499385655e+06,-9.940452167025901620e-01,-1.243989733625913835e-01,3.201863028942811070e+03,-2.956239928930716269e+04
8.473469254870587960e+06,-9.910253606241133939e-01,-1.493487642296824902e-01,3.942013077899453037e+03,-2.946033015114942464e+04
8.599938945241792127e+06,-9.873811985136077274e-01,-1.742044738737719700e-01,4.678760214314414043e+03,-2.933984077369111401e+04
8.726408635612994432e+06,-9.831157984220219026e-01,-1.989505804626207908e-01,5.411652622299992800e+03,-2.920105214647598768e+04
8.852878325984196737e+06,-9.782326084216206308e-01,-2.235716689810013647e-01,6.140243108988091080e+03,-2.904409595589599485e+04
8.979348016355399042e+06,-9.727354526001061874e-01,-2.480524401943824953e-01,6.864089334220964702e+03,-2.886911439701148629e+04
9.105817706726603210e+06,-9.666285268639288608e-01,-2.723777194520558553e-01,7.582754032284773530e+03,-2.867625998193598571e+04
9.232287397097805515e+06,-9.599163945574922252e-01,-2.965324653269382771e-01,8.295805225740030437e+03,-2.846569534512204336e+04
9.358757087469007820e+06,-9.526039819049051394e-01,-3.205017780895743074e-01,9.002816431416762498e+03,-2.823759304587486622e+04
9.485226777840211987e+06,-9.446965732808719762e-01,-3.442709080141237443e-01,9.703366858654464522e+03,-2.799213536841020323e+04
9.611696468211414292e+06,-9.361998063172400908e-01,-3.678252635143905436e-01,1.039704159987913954e+04,-2.772951411976229065e+04
9.738166158582616597e+06,-9.271196668516369366e-01,-3.911504191082047499e-01,1.108343181362083851e+04,-2.744993042583662827e+04
9.864635848953818902e+06,-9.174624837245441977e-01,-4.142321232087028959e-01,1.176213490008523695e+04,-2.715359452589115608e+04
9.991105539325023070e+06,-9.072349234310483901e-01,-4.370563057412990005e-01,1.243275466940276237e+04,-2.684072556571780660e+04
1.011757522969622537e+07,-8.964439846334053552e-01,-4.596090855853556811e-01,1.309490150268741854e+04,-2.651155138978468676e+04
1.024404492006742768e+07,-8.850969925404371663e-01,-4.818767778397862189e-01,1.374819250604585977e+04,-2.616630833258715211e+04
1.037051461043862998e+07,-8.732015931596600611e-01,-5.038459009120136445e-01,1.439225165768435909e+04,-2.580524100944411475e+04
1.049698430080983415e+07,-8.607657474279125642e-01,-5.255031834299191962e-01,1.502670994826837523e+04,-2.542860210696364447e+04
1.062345399118103646e+07,-8.477977252261221786e-01,-5.468355709765855277e-01,1.565120551469514248e+04,-2.503665217338982256e+04
1.074992368155223876e+07,-8.343060992837069145e-01,-5.678302326478271711e-01,1.626538376744528978e+04,-2.462965940903045339e+04
1.087639337192344293e+07,-8.202997389779703719e-01,-5.884745674326473663e-01,1.686889751168381554e+04,-2.420789945695323331e+04
1.100286306229464523e+07,-8.057878040337007608e-01,-6.087562104169293997e-01,1.746140706228496492e+04,-2.377165519412557114e+04
1.112933275266584754e+07,-7.907797381280330384e-01,-6.286630388108076506e-01,1.804258035295889567e+04,-2.332121652316123073e+04
1.125580244303704984e+07,-7.752852624054891173e-01,-6.481831778002912214e-01,1.861209303966048901e+04,-2.285688016482505918e+04
1.138227213340825401e+07,-7.593143689079475678e-01,-6.673050062238459201e-01,1.916962859846305582e+04,-2.237894945143496443e+04
1.150874182377945632e+07,-7.428773139241493517e-01,-6.860171620747432808e-01,1.971487841808100347e+04,-2.188773412128875862e+04
1.163521151415065862e+07,-7.259846112631801462e-01,-7.043085478300979974e-01,2.024754188722666731e+04,-2.138355011423170436e+04
1.176168120452186093e+07,-7.086470254562224902e-01,-7.221683356075982996e-01,2.076732647698667279e+04,-2.086671936846943208e+04
1.188815089489306509e+07,-6.908755648907065616e-01,-7.395859721510250617e-01,2.127394781840336145e+04,-2.033756961871947715e+04
1.201462058526426740e+07,-6.726814748808384037e-01,-7.565511836457243788e-01,2.176712977544594469e+04,-1.979643419578394241e+04
1.214109027563546970e+07,-6.540762306783195479e-01,-7.730539803652715092e-01,2.224660451355521946e+04,-1.924365182761478354e+04
1.226755996600667387e+07,-6.350715304269297645e-01,-7.890846611506072694e-01,2.271211256394380689e+04,-1.867956644193310058e+04
1.239402965637787618e+07,-6.156792880644816890e-01,-8.046338177229873656e-01,2.316340288383208826e+04,-1.810452697045334571e+04
1.252049934674907848e+07,-5.959116261755053046e-01,-8.196923388321204484e-01,2.360023291279762998e+04,-1.751888715475339268e+04
1.264696903712028079e+07,-5.757808687978797080e-01,-8.342514142408962163e-01,2.402236862541279334e+04,-1.692300535382210728e+04
1.277343872749148495e+07,-5.552995341864718215e-01,-8.483025385481354208e-01,2.442958458034234354e+04,-1.631724435330631241e+04
1.289990841786268726e+07,-5.344803275367078221e-01,-8.618375148508006234e-01,2.482166396606905982e+04,-1.570197117647032246e+04
1.302637810823388956e+07,-5.133361336708528455e-01,-8.748484582471244275e-01,2.519839864341163775e+04,-1.507755689687222366e+04
1.315284779860509187e+07,-4.918800096896496776e-01,-8.873277991820970323e-01,2.555958918499473657e+04,-1.444437645275300019e+04
1.327931748897629604e+07,-4.701251775918205977e-01,-8.992682866367635031e-01,2.590504491182669517e+04,-1.380280846312620270e+04
1.340578717934749834e+07,-4.480850168638187969e-01,-9.106629911627558416e-01,2.623458392713544890e+04,-1.315323504554838837e+04
1.353225686971870065e+07,-4.257730570420798499e-01,-9.215053077634739465e-01,2.654803314760826834e+04,-1.249604163554285151e+04
1.365872656008990481e+07,-4.032029702499138057e-01,-9.317889586232949162e-01,2.684522833217539301e+04,-1.183161680764244556e+04
1.378519625046110712e+07,-3.803885637110550610e-01,-9.415079956861645005e-01,2.712601410847218722e+04,-1.116035209801028759e+04
1.391166594083230942e+07,-3.573437722417739382e-01,-9.506568030848860928e-01,2.739024399710870421e+04,-1.048264182859073117e+04
1.403813563120351173e+07,-3.340826507233582432e-01,-9.592300994223769139e-01,2.763778043386932040e+04,-9.798882932737218653e+03
1.416460532157471590e+07,-3.106193665566587270e-01,-9.672229399061154087e-01,2.786849478995915706e+04,-9.109474782257580955e+03
1.429107501194591820e+07,-2.869681921003076619e-01,-9.746307183369516958e-01,2.808226739040744724e+04,-8.414819015812237922e+03
1.441754470231712051e+07,-2.631434970941181617e-01,-9.814491689533969554e-01,2.827898753073163243e+04,-7.715319368595474771e+03
1.454401439268832281e+07,-2.391597410691002623e-01,-9.876743681324423596e-01,2.845855349195913732e+04,-7.011381503225640699e+03
1.467048408305952698e+07,-2.150314657454380773e-01,-9.933027359478991958e-01,2.862087255409706995e+04,-6.303412841765426492e+03
