time,x,y,vx,vy
0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000444e-01,-7.091176415415530209e+04,0.000000000000000000e+00
6.317154704227247566e+04,-2.991475121961808398e-02,2.991231270810737475e-01,-7.070431599590706173e+04,-4.150862524385865981e+03
1.263430940845449513e+05,-5.965578924261794036e-02,2.965065776267520881e-01,-7.009151497602237214e+04,-8.227420116455865355e+03
1.895146411268174415e+05,-8.905670801997256358e-02,2.921965181585491345e-01,-6.909852286642885883e+04,-1.216083386584825530e+04
2.526861881690899027e+05,-1.179647239125622277e-01,2.862662313412291382e-01,-6.776412946589649073e+04,-1.589218054261468387e+04
3.158577352113623638e+05,-1.462456183030165224e-01,2.788112303229752786e-01,-6.613675662362309231e+04,-1.937548516915715300e+04
3.790292822536348831e+05,-1.737868714025785077e-01,2.699434563001649190e-01,-6.427001547891230439e+04,-2.257901755391362894e+04
4.422008292959073442e+05,-2.004989525563584674e-01,2.597852772081188921e-01,-6.221852425936047803e+04,-2.548498148222639065e+04
5.053723763381798053e+05,-2.263149917810851897e-01,2.484638905975179723e-01,-6.003448872906414181e+04,-2.808798760713801676e+04
5.685439233804523246e+05,-2.511892143035042713e-01,2.361065409942892657e-01,-5.776528467864282720e+04,-3.039280586470270646e+04
6.317154704227247275e+05,-2.750945698592893729e-01,2.228367552710651123e-01,-5.545204959315562883e+04,-3.241186186458440352e+04
6.948870174649972469e+05,-2.980199558689078931e-01,2.087716251679358759e-01,-5.312913607029343257e+04,-3.416282980602294265e+04
7.580585645072697662e+05,-3.199673537054030237e-01,1.940200457315248705e-01,-5.082420897894566588e+04,-3.566653893891345069e+04
8.212301115495421691e+05,-3.409491021598617944e-01,1.786817530589729919e-01,-4.855876277077823033e+04,-3.694529055550770136e+04
8.844016585918146884e+05,-3.609854437388578252e-01,1.628469833614519524e-01,-4.634886798661690409e+04,-3.802159565637375636e+04
9.475732056340870913e+05,-3.801024085976126288e-01,1.465965831940507780e-01,-4.420600361365470599e+04,-3.891729143864713842e+04
1.010744752676359611e+06,-3.983300505313797091e-01,1.300024242595390345e-01,-4.213787925352585444e+04,-3.965297085276498547e+04
1.073916299718632130e+06,-4.157010175264124197e-01,1.131280055326055051e-01,-4.014919037124967872e+04,-4.024765451840215974e+04
1.137087846760904649e+06,-4.322494218990446391e-01,9.602915435520474607e-02,-3.824227890379531891e+04,-4.071864010960805172e+04
1.200259393803176936e+06,-4.480099677505977596e-01,7.875476341135616287e-02,-3.641769091339628358e+04,-4.108147495811454428e+04
1.263430940845449455e+06,-4.630172926691473734e-01,6.134752092415669128e-02,-3.467463472183482372e+04,-4.135000935316858522e+04
1.326602487887721974e+06,-4.773054835411202346e-01,4.384460704168104128e-02,-3.301134921072005818e+04,-4.153649883583725023e+04
1.389774034929994494e+06,-4.909077310801971961e-01,2.627834078747021476e-02,-3.142539458485318755e+04,-4.165173284532163234e+04
1.452945581972267013e+06,-5.038560930182617303e-01,8.676769943858924153e-03,-2.991387829311669702e+04,-4.170517419630465884e+04
1.516117129014539532e+06,-5.161813411214697389e-01,-8.935798395076053474e-03,-2.847362797738936206e+04,-4.170509921142802341e+04
1.579288676056811819e+06,-5.279128719253057822e-01,-2.653832542949718237e-02,-2.710132192137517995e+04,-4.165873219846430584e+04
1.642460223099084338e+06,-5.390786651735506307e-01,-4.411262318931356147e-02,-2.579358589101707548e+04,-4.157237066712194792e+04
1.705631770141356857e+06,-5.497052773722655994e-01,-6.164298766105374972e-02,-2.454706371696449787e+04,-4.145149951426257758e+04
1.768803317183629377e+06,-5.598178606740322749e-01,-7.911587769242309220e-02,-2.335846757745640934e+04,-4.130089360665030836e+04
1.831974864225901896e+06,-5.694401995636857450e-01,-9.651963479196476459e-02,-2.222461274014768787e+04,-4.112470894274397142e+04
1.895146411268174183e+06,-5.785947596079549227e-01,-1.138442391206489351e-01,-2.114244051912720897e+04,-4.092656301856971550e+04
1.958317958310446702e+06,-5.873027439386951931e-01,-1.310810972920362638e-01,-2.010903238436664833e+04,-4.070960525859438349e+04
2.021489505352719221e+06,-5.955841542355146956e-01,-1.482228579862956697e-01,-1.912161750229220343e+04,-4.047657847268788464e+04
2.084661052394991741e+06,-6.034578538210645382e-01,-1.652632517947254798e-01,-1.817757546304197967e+04,-4.022987231477558089e+04
2.147832599437264260e+06,-6.109416311331511418e-01,-1.821969521170432871e-01,-1.727443553829679877e+04,-3.997156968179840624e+04
2.211004146479536779e+06,-6.180522623345757749e-01,-1.990194543169912789e-01,-1.640987349200654353e+04,-3.970348692595832108e+04
2.274175693521809299e+06,-6.248055721983399868e-01,-2.157269706940329601e-01,-1.558170671667394708e+04,-3.942720867384706071e+04
2.337347240564081818e+06,-6.312164926896277617e-01,-2.323163391464485861e-01,-1.478788827501444030e+04,-3.914411796240387775e+04
2.400518787606353872e+06,-6.372991188781119698e-01,-2.487849436834978500e-01,-1.402650027852549829e+04,-3.885542231949375855e+04
2.463690334648626391e+06,-6.430667619712939764e-01,-2.651306451929097974e-01,-1.329574692095294813e+04,-3.856217633955115889e+04
2.526861881690898910e+06,-6.485319993747361567e-01,-2.813517210872159557e-01,-1.259394739805340396e+04,-3.826530123389617802e+04
2.590033428733171429e+06,-6.537067217682243081e-01,-2.974468126412928015e-01,-1.191952887930258657e+04,-3.796560177167537040e+04
2.653204975775443949e+06,-6.586021772458489076e-01,-3.134148789969703475e-01,-1.127101964750722800e+04,-3.766378097095160047e+04
2.716376522817716468e+06,-6.632290126086854976e-01,-3.292551569517015997e-01,-1.064704248492288934e+04,-3.736045284993841778e+04
2.779548069859988987e+06,-6.675973119257575528e-01,-3.449671257698724847e-01,-1.004630835657804164e+04,-3.705615350521844812e+04
2.842719616902261507e+06,-6.717166324957789536e-01,-3.605504763599285400e-01,-9.467610420827233611e+03,-3.675135074638563674e+04
2.905891163944534026e+06,-6.755960383514760803e-01,-3.760050842504011337e-01,-8.909818381984323423e+03,-3.644645248426994658e+04
2.969062710986806545e+06,-6.792441314521063811e-01,-3.913309858751610193e-01,-8.371873188897938235e+03,-3.614181404212208145e+04
3.032234258029079065e+06,-6.826690807096694735e-01,-4.065283577445870655e-01,-7.852782075509257993e+03,-3.583774453527739388e+04
3.095405805071351118e+06,-6.858786489914113771e-01,-4.215974981363577734e-01,-7.351613933997440654e+03,-3.553451244435850094e+04
3.158577352113623638e+06,-6.888802182364289761e-01,-4.365388109885888213e-01,-6.867495007473667101e+03,-3.523235048954717058e+04
3.221748899155896157e+06,-6.916808128181448634e-01,-4.513527917201947681e-01,-6.399604886874718431e+03,-3.493145989844542055e+04
3.284920446198168676e+06,-6.942871212776311474e-01,-4.660400147396415171e-01,-5.947172795382849472e+03,-3.463201414719388413e+04
3.348091993240441196e+06,-6.967055165455684484e-01,-4.806011224345133614e-01,-5.509474143096074840e+03,-3.433416224351082201e+04
3.411263540282713715e+06,-6.989420747632971720e-01,-4.950368154612721505e-01,-5.085827334590277133e+03,-3.403803161088865454e+04
3.474435087324986234e+06,-7.010025928061385248e-01,-5.093478441778523935e-01,-4.675590812300064499e+03,-3.374373062510644377e+04
3.537606634367258754e+06,-7.028926046050540943e-01,-5.235350010818372590e-01,-4.278160319184336913e+03,-3.345135084728873335e+04
3.600778181409531273e+06,-7.046173963558812758e-01,-5.375991141343527957e-01,-3.892966364849388810e+03,-3.316096899179519096e+04
3.663949728451803792e+06,-7.061820206988599358e-01,-5.515410408648772078e-01,-3.519471880113148927e+03,-3.287264866211763001e+04
3.727121275494075846e+06,-7.075913099450087396e-01,-5.653616631652211844e-01,-3.157170045861882954e+03,-3.258644188356911764e+04
3.790292822536348365e+06,-7.088498884201247519e-01,-5.790618826922735440e-01,-2.805582282940927143e+03,-3.230239045776957209e+04
3.853464369578620885e+06,-7.099621839917624744e-01,-5.926426168089586888e-01,-2.464256390709300831e+03,-3.202052716067479923e+04
3.916635916620893404e+06,-7.109324388395149574e-01,-6.061047950014297747e-01,-2.132764822756808371e+03,-3.174087680308598283e+04
3.979807463663165923e+06,-7.117647195242373659e-01,-6.194493557179912013e-01,-1.810703089120002005e+03,-3.146345717014982802e+04
4.042979010705438443e+06,-7.124629264075217350e-01,-6.326772435817635820e-01,-1.497688275132153876e+03,-3.118827985426123996e+04
4.106150557747710962e+06,-7.130308024687255219e-01,-6.457894069347971389e-01,-1.193357667797738486e+03,-3.091535099396387886e+04
4.169322104789983481e+06,-7.134719415631630701e-01,-6.587867956763167054e-01,-8.973674812914446193e+02,-3.064467192986953523e+04
4.232493651832255535e+06,-7.137897961616612719e-01,-6.716703593621418111e-01,-6.093916738446736190e+02,-3.037623978725103370e+04
4.295665198874528520e+06,-7.139876846085470019e-01,-6.844410455361458201e-01,-3.291208488992826915e+02,-3.011004799377632298e+04
4.358836745916800573e+06,-7.140687979322483114e-01,-6.970997982679663085e-01,-5.626123398033746525e+01,-2.984608673981887478e+04
4.422008292959073558e+06,-7.140362062400411602e-01,-7.096475568741335005e-01,2.094662687316153438e+02,-2.958434338788016612e+04
4.485179840001345612e+06,-7.138928647260317506e-01,-7.220852548023626305e-01,4.683269656600772350e+02,-2.932480283687596602e+04
4.548351387043618597e+06,-7.136416193192303137e-01,-7.344138186610477126e-01,7.205731940060900342e+02,-2.906744784635344331e+04
4.611522934085890651e+06,-7.132852119965115145e-01,-7.466341673779952615e-01,9.664450875043057749e+02,-2.881225932510797793e+04
4.674694481128163636e+06,-7.128262857833649324e-01,-7.587472114742210838e-01,1.206171290050851894e+03,-2.855921658814475813e+04
4.737866028170435689e+06,-7.122673894636076808e-01,-7.707538524401874591e-01,1.439969621143549148e+03,-2.830829758547184974e+04
4.801037575212707743e+06,-7.116109820176290679e-01,-7.826549822032575765e-01,1.668047696755731295e+03,-2.805947910580889948e+04
4.864209122254980728e+06,-7.108594368072765901e-01,-7.944514826763565685e-01,1.890603508971816836e+03,-2.781273695794264495e+04
4.927380669297252782e+06,-7.100150455241406311e-01,-8.061442253789260493e-01,2.107825967444532580e+03,-2.756804613214985875e+04
4.990552216339525767e+06,-7.090800219167583407e-01,-8.177340711222161884e-01,2.319895405487834068e+03,-2.732538094383515636e+04
5.053723763381797820e+06,-7.080565053111144147e-01,-8.292218697518146664e-01,2.526984053394277453e+03,-2.708471516129056545e+04
5.116895310424070805e+06,-7.069465639377716659e-01,-8.406084599410749147e-01,2.729256481359537702e+03,-2.684602211927144526e+04
5.180066857466342859e+06,-7.057521980779923876e-01,-8.518946690297753976e-01,2.926870014207670010e+03,-2.660927481989622538e+04
5.243238404508615844e+06,-7.044753430403299932e-01,-8.630813129029497599e-01,3.119975119937876570e+03,-2.637444602221171954e+04
5.306409951550887898e+06,-7.031178719783433007e-01,-8.741691959053552452e-01,3.308715773954812903e+03,-2.614150832161968356e+04
5.369581498593160883e+06,-7.016815985593368721e-01,-8.851591107875315112e-01,3.493229800699384214e+03,-2.591043422023044332e+04
5.432753045635432936e+06,-7.001682794933303811e-01,-8.960518386798183021e-01,3.673649194263639401e+03,-2.568119618909485507e+04
5.495924592677704990e+06,-6.985796169308192693e-01,-9.068481490910907938e-01,3.850100419451447578e+03,-2.545376672316380063e+04
5.559096139719977975e+06,-6.969172607372946526e-01,-9.175487999292991637e-01,4.022704694634500811e+03,-2.522811838973420890e+04
5.622267686762250029e+06,-6.951828106519448713e-01,-9.281545375412127985e-01,4.191578257650529849e+03,-2.500422387106012320e+04
5.685439233804523014e+06,-6.933778183374493809e-01,-9.386660967690327873e-01,4.356832615896284551e+03,-2.478205600173597850e+04
5.748610780846795067e+06,-6.915037893273160430e-01,-9.490842010217830360e-01,4.518574781681145396e+03,-2.456158780139568262e+04
5.811782327889068052e+06,-6.895621848767704565e-01,-9.594095623596070599e-01,4.676907493827774488e+03,-2.434279250321436848e+04
5.874953874931340106e+06,-6.875544237228120581e-01,-9.696428815892907949e-01,4.831929426432940090e+03,-2.412564357864935664e+04
5.938125421973613091e+06,-6.854818837586773572e-01,-9.797848483695088539e-01,4.983735385634536215e+03,-2.391011475881160732e+04
6.001296969015885144e+06,-6.833459036276076093e-01,-9.898361413244453066e-01,5.132416495168793517e+03,-2.369618005281898513e+04
6.064468516058158129e+06,-6.811477842404982663e-01,-9.997974281645849448e-01,5.278060371444877092e+03,-2.348381376344642558e+04
6.127640063100430183e+06,-6.788887902217136672e-01,-1.009669365813589348e+00,5.420751288811467930e+03,-2.327299050035627079e+04
6.190811610142702237e+06,-6.765701512870736511e-01,-1.019452600540298848e+00,5.560570335641745260e+03,-2.306368519116298557e+04
6.253983157184975222e+06,-6.741930635577656483e-01,-1.029147768094984761e+00,5.697595561818508031e+03,-2.285587309056099548e+04
6.317154704227247275e+06,-6.717586908136983226e-01,-1.038755493849086609e+00,5.831902118160173814e+03,-2.264952978772111601e+04
6.380326251269520260e+06,-6.692681656895907993e-01,-1.048276392937741219e+00,5.963562388290461968e+03,-2.244463121214045896e+04
6.443497798311792314e+06,-6.667225908168914472e-01,-1.057711070404479869e+00,6.092646113419506946e+03,-2.224115363811216594e+04
6.506669345354065299e+06,-6.641230399144230079e-01,-1.067060121347553903e+00,6.219220510471905982e+03,-2.203907368796457740e+04
6.569840892396337353e+06,-6.614705588304797823e-01,-1.076324131067387668e+00,6.343350383967197558e+03,-2.183836833420460607e+04
6.633012439438610338e+06,-6.587661665389319410e-01,-1.085503675214730013e+00,6.465098232030759391e+03,-2.163901490068650673e+04
