time,x,y,vx,vy
0.000000000000000000e+00,0.000000000000000000e+00,9.832899999999999974e-01,-3.029090109819997087e+04,0.000000000000000000e+00
1.264696903712028143e+05,-2.560464670097065479e-02,9.829620555617053501e-01,-3.028079859837055847e+04,-7.758002523676076407e+02
2.529393807424056286e+05,-5.119221480031860283e-02,9.819784520107269765e-01,-3.025049886801492175e+04,-1.551057252062685393e+03
3.794090711136084283e+05,-7.674563555951878502e-02,9.803398788027617439e-01,-3.020002521994796189e+04,-2.325227517008459472e+03
5.058787614848112571e+05,-1.022478730026916000e-01,9.780474833029892956e-01,-3.012941632717515313e+04,-3.097769405536315389e+03
6.323484518560140859e+05,-1.276826715989995698e-01,9.751018791530874363e-01,-3.003878280792532314e+04,-3.868172404003556949e+03
7.588181422272168566e+05,-1.530337026015087254e-01,9.715040713634539582e-01,-2.992824680173665183e+04,-4.635933311828470323e+03
8.852878325984197436e+05,-1.782834100667239075e-01,9.672571633360390608e-01,-2.979784605461984029e+04,-5.400505970401460218e+03
1.011757522969622514e+06,-2.034144397675856919e-01,9.623646409288733050e-01,-2.964763644881961227e+04,-6.161349948561579367e+03
1.138227213340825401e+06,-2.284096502442334031e-01,9.568303585062662986e-01,-2.947769281974587648e+04,-6.917930944406854906e+03
1.264696903712028172e+06,-2.532521128040048364e-01,9.506585389388081397e-01,-2.928810895597374474e+04,-7.669720785294283814e+03
1.391166594083230942e+06,-2.779251115214364520e-01,9.438537736033670855e-01,-2.907899759924351383e+04,-8.416197427839844750e+03
1.517636284454433713e+06,-3.024121432382632646e-01,9.364210223830919944e-01,-2.885049044446068365e+04,-9.156844957918481668e+03
1.644105974825636484e+06,-3.266969175634188427e-01,9.283656136674105497e-01,-2.860273813969593903e+04,-9.891153590664118383e+03
1.770575665196839487e+06,-3.507633568730355589e-01,9.196932443520298150e-01,-2.833591028618516430e+04,-1.061861967046965219e+04
1.897045355568042258e+06,-3.745955963104442565e-01,9.104099798389364562e-01,-2.805019543832943236e+04,-1.133874567098695115e+04
2.023515045939245028e+06,-3.981779837861741389e-01,9.005222540363968520e-01,-2.774580110369501563e+04,-1.205104019512685045e+04
2.149984736310448032e+06,-4.214950799779534352e-01,8.900368693589565394e-01,-2.742295374301337506e+04,-1.275501797505917420e+04
2.276454426681650802e+06,-4.445316583307086233e-01,8.789609967274404356e-01,-2.708189877018117113e+04,-1.345019987221271003e+04
2.402924117052853573e+06,-4.672727050565650408e-01,8.673021755689531709e-01,-2.672290055226025652e+04,-1.413611287727522722e+04
2.529393807424056344e+06,-4.897034191348466625e-01,8.550683138168787556e-01,-2.634624240947767248e+04,-1.481229011019345489e+04
2.655863497795259114e+06,-5.118092123120752124e-01,8.422676879108804693e-01,-2.595222661522565977e+04,-1.547827082017311113e+04
2.782333188166461885e+06,-5.335757091019726062e-01,8.289089427969010826e-01,-2.554117439606164407e+04,-1.613360038567887750e+04
2.908802878537664656e+06,-5.549887467854579537e-01,8.150010919271630794e-01,-2.511342593170826149e+04,-1.677783031443441723e+04
3.035272568908867426e+06,-5.760343754106495018e-01,8.005535172601679905e-01,-2.466934035505332940e+04,-1.741051824342235341e+04
3.161742259280070197e+06,-5.966988577928643567e-01,7.855759692606971711e-01,-2.420929575214985744e+04,-1.803122793888430533e+04
3.288211949651272967e+06,-6.169686695146172628e-01,7.700785668998112454e-01,-2.373368916221605832e+04,-1.863952929632084124e+04
3.414681640022476204e+06,-6.368304989256231563e-01,7.540717976548502177e-01,-2.324293657763532610e+04,-1.923499834049152923e+04
3.541151330393678974e+06,-6.562712471427938343e-01,7.375665175094336945e-01,-2.273747294395626159e+04,-1.981721722541488271e+04
3.667621020764881745e+06,-6.752780280502409527e-01,7.205739509534607734e-01,-2.221775215989265416e+04,-2.038577423436840763e+04
3.794090711136084516e+06,-6.938381682992739163e-01,7.031056909831095991e-01,-2.168424707732348543e+04,-2.094026377988858076e+04
3.920560401507287286e+06,-7.119394404675863930e-01,6.851726831710993615e-01,-2.113750321236917443e+04,-2.148044757056829621e+04
4.047030091878490057e+06,-7.295709907103106184e-01,6.667834845646462005e-01,-2.057812266897033260e+04,-2.200659047062305035e+04
4.173499782249692827e+06,-7.467218711058133396e-01,6.479515808690110568e-01,-2.000633482705540519e+04,-2.251830277982201733e+04
4.299969472620896064e+06,-7.633813969998303195e-01,6.286911002327683073e-01,-1.942235188003436269e+04,-2.301513341579019107e+04
4.426439162992098369e+06,-7.795392395236635519e-01,6.090162578992868170e-01,-1.882640537160060194e+04,-2.349665353281469288e+04
4.552908853363301605e+06,-7.951854255941809280e-01,5.889413562067284946e-01,-1.821874619573091331e+04,-2.396245652184477876e+04
4.679378543734503910e+06,-8.103103379138161255e-01,5.684807845880495147e-01,-1.759964459668550262e+04,-2.441215801049183210e+04
4.805848234105707146e+06,-8.249047149705697191e-01,5.476490195709993181e-01,-1.696939016900797287e+04,-2.484539586302937823e+04
4.932317924476909451e+06,-8.389596510380071814e-01,5.264606247781220549e-01,-1.632829185752536068e+04,-2.526183018039306990e+04
5.058787614848112687e+06,-8.524665961752611043e-01,5.049302509267542538e-01,-1.567667795734808169e+04,-2.566114330018069086e+04
5.185257305219314992e+06,-8.654173562270295328e-01,4.830726358290275413e-01,-1.501489611386998513e+04,-2.604303979665215229e+04
5.311726995590518229e+06,-8.778040928235767426e-01,4.609026043918662552e-01,-1.434331332276830472e+04,-2.640724648072951095e+04
5.438196685961721465e+06,-8.896193233807330181e-01,4.384350686169892208e-01,-1.366231593000370412e+04,-2.675351239999694735e+04
5.564666376332923770e+06,-9.008559210998947631e-01,4.156850276009088629e-01,-1.297230963182024607e+04,-2.708160883870076941e+04
5.691136066704127006e+06,-9.115071149680243900e-01,3.926675675349308725e-01,-1.227371947474539775e+04,-2.739132931774943427e+04
5.817605757075329311e+06,-9.215664897576504311e-01,3.693978617051554836e-01,-1.156698985559004359e+04,-2.768248959471350827e+04
5.944075447446532547e+06,-9.310279860268675378e-01,3.458911704924760855e-01,-1.085258452144846524e+04,-2.795492766382571062e+04
6.070545137817734852e+06,-9.398859001193359264e-01,3.221628413725801665e-01,-1.013098656969837066e+04,-2.820850375598087703e+04
6.197014828188938089e+06,-9.481348841642828207e-01,2.982283089159485368e-01,-9.402698448000854114e+03,-2.844310033873599241e+04
6.323484518560140394e+06,-9.557699460765006760e-01,2.741030947878565494e-01,-8.668241954300443467e+03,-2.865862211631015816e+04
