time,x,y,vx,vy
0.000000000000000000e+00,0.000000000000000000e+00,9.832899999999999974e-01,-3.029090109819997087e+04,0.000000000000000000e+00
1.264696903712028143e+05,-2.560749253311549178e-02,9.829620365777639313e-01,-3.028080823681344555e+04,-7.754963604442782525e+02
2.529393807424056286e+05,-5.119791180877907716e-02,9.819785945999364163e-01,-3.025052395173059631e+04,-1.550449265720673793e+03
3.794090711136084283e+05,-7.675419485823899157e-02,9.803403633863848610e-01,-3.020007154521626217e+04,-2.324315402057189203e+03
5.058787614848112571e+05,-1.022593049819501276e-01,9.780484912552859234e-01,-3.012948983856372070e+04,-3.096552436982103245e+03
6.323484518560140859e+05,-1.276962448540323591e-01,9.751045844861696565e-01,-3.003883312747838499e+04,-3.866619508774259884e+03
7.588181422272168566e+05,-1.530480695814797065e-01,9.715107058699977705e-01,-2.992817111971038321e+04,-4.633977713619299720e+03
8.852878325984197436e+05,-1.782978997031625101e-01,9.672693728485393105e-01,-2.979758885507000014e+04,-5.398090589715237002e+03
1.011757522969622514e+06,-2.034289341137936191e-01,9.623835552459389930e-01,-2.964718660799753343e+04,-6.158424597579508372e+03
1.138227213340825401e+06,-2.284244628981916270e-01,9.568566725960057084e-01,-2.947707977289607516e+04,-6.914449595820522518e+03
1.264696903712028172e+06,-2.532678800613639702e-01,9.506925910693616588e-01,-2.928739873247185460e+04,-7.665639311649613774e+03
1.391166594083230942e+06,-2.779426961401569307e-01,9.438956200052055490e-01,-2.907828870936215753e+04,-8.411471805424300328e+03
1.517636284454433713e+06,-3.024325506824691034e-01,9.364705080530295600e-01,-2.884990960136503054e+04,-9.151429928530604229e+03
1.644105974825636484e+06,-3.267212245803059467e-01,9.284224389302103697e-01,-2.860243580061818284e+04,-9.885001773930947820e+03
1.770575665196839487e+06,-3.507926522432596728e-01,9.197570268019564788e-01,-2.833605599710639581e+04,-1.061168111872473128e+04
1.897045355568042258e+06,-3.746309335993336931e-01,9.104803112906347806e-01,-2.805097296690731673e+04,-1.133096785809088033e+04
2.023515045939245028e+06,-3.982203459103891841e-01,9.005987521220244485e-01,-2.774740334561461714e+04,-1.204236843000557383e+04
2.149984736310448032e+06,-4.215453553898741434e-01,8.901192234165471451e-01,-2.742557738740508285e+04,-1.274539623015363395e+04
2.276454426681650802e+06,-4.445906286109018168e-01,8.790490076340057302e-01,-2.708573871024216351e+04,-1.343957201647886905e+04
2.402924117052853573e+06,-4.673410436931724199e-01,8.673957891808172782e-01,-2.672814402773276743e+04,-1.412442430284665170e+04
2.529393807424056344e+06,-4.897817012576781703e-01,8.551676476891630907e-01,-2.635306286817656292e+04,-1.479948974132116564e+04
2.655863497795259114e+06,-5.118979351385964938e-01,8.423730509778840636e-01,-2.596077728136779115e+04,-1.546431349259002127e+04
2.782333188166461885e+06,-5.336753228422606021e-01,8.290208477053329084e-01,-2.555158153372829474e+04,-1.611844958410003892e+04
2.908802878537664656e+06,-5.550996957435876400e-01,8.151202597247493298e-01,-2.512578179236747019e+04,-1.676146125549994395e+04
3.035272568908867426e+06,-5.761571490108634563e-01,8.006808741530534457e-01,-2.468369579867974971e+04,-1.739292129101828323e+04
3.161742259280070197e+06,-5.968340512502962047e-01,7.857126351642523820e-01,-2.422565253210321680e+04,-1.801241233843801820e+04
3.288211949651272967e+06,-6.171170538622895441e-01,7.702258355189260941e-01,-2.375199186467400432e+04,-1.861952721436277352e+04
3.414681640022476204e+06,-6.369931001019252248e-01,7.542311078415047110e-01,-2.326306420702012474e+04,-1.921386919550352104e+04
3.541151330393678974e+06,-6.564494338366896331e-01,7.377394156572618655e-01,-2.275923014644551949e+04,-1.979505229574843179e+04
3.667621020764881745e+06,-6.754736079950373062e-01,7.207620442011359874e-01,-2.224086007776012048e+04,-2.036270152881269678e+04
3.794090711136084516e+06,-6.940534926999349929e-01,7.033105910106495218e-01,-2.170833382751498721e+04,-2.091645315629891411e+04
3.920560401507287286e+06,-7.121772830820897182e-01,6.853969563153233802e-01,-2.116204027230275096e+04,-2.145595492103242213e+04
4.047030091878490057e+06,-7.298335067681257504e-01,6.670333332350851796e-01,-2.060237695178308422e+04,-2.198086626556930059e+04
4.173499782249692827e+06,-7.470110310395265962e-01,6.482321978002432150e-01,-2.002974967709035991e+04,-2.249085853580770709e+04
4.299969472620896064e+06,-7.636990696587183658e-01,6.290062988056406290e-01,-1.944457213527654312e+04,-2.298561516966560157e+04
4.426439162992098369e+06,-7.798871893592145277e-01,6.093686475116253387e-01,-1.884726549043637351e+04,-2.346483187081969299e+04
4.552908853363301605e+06,-7.955653159972939648e-01,5.893325072044566237e-01,-1.823825798215427494e+04,-2.392821676753150314e+04
4.679378543734503910e+06,-8.107237403632115980e-01,5.689113826287430786e-01,-1.761798452190339231e+04,-2.437549055661652528e+04
4.805848234105707146e+06,-8.253531236504794144e-01,5.481190093044360223e-01,-1.698688628801618324e+04,-2.480638663264192655e+04
4.932317924476909451e+06,-8.394445025822667716e-01,5.269693427408298492e-01,-1.634541031983421090e+04,-2.522065120246637161e+04
5.058787614848112687e+06,-8.529892941944825502e-01,5.054765475599000135e-01,-1.569400911163093951e+04,-2.561804338526295760e+04
5.185257305219314992e+06,-8.659793002755925562e-01,4.836549865411937099e-01,-1.503314020688691198e+04,-2.599833529819224714e+04
5.311726995590518229e+06,-8.784067114637166274e-01,4.615192096003192801e-01,-1.436326579348040104e+04,-2.636131212791747748e+04
5.438196685961721465e+06,-8.902641110020074189e-01,4.390839427129262229e-01,-1.368485230033992957e+04,-2.670677218817760513e+04
5.564666376332923770e+06,-9.015444781537801378e-01,4.163640767958580180e-01,-1.299836999608670703e+04,-2.703452696365643351e+04
5.691136066704127006e+06,-9.122411912792918187e-01,3.933746565569624654e-01,-1.230429259017625009e+04,-2.734440114040714980e+04
5.817605757075329311e+06,-9.223480305764939491e-01,3.701308693248103188e-01,-1.160309683702868278e+04,-2.763623262311137296e+04
5.944075447446532547e+06,-9.318591804884897023e-01,3.466480338693277985e-01,-1.089526214361653729e+04,-2.790987253947034696e+04
6.070545137817734852e+06,-9.407692317808100668e-01,3.229415892240958819e-01,-1.018127018095798485e+04,-2.816518523204287703e+04
6.197014828188938089e+06,-9.490731832919976352e-01,2.990270835207867184e-01,-9.461604499941477115e+03,-2.840204823786034467e+04
6.323484518560140394e+06,-9.567664433613342068e-01,2.749201628459334024e-01,-8.736750151885911691e+03,-2.862035225616330717e+04
6.449954208931343630e+06,-9.638448309378806478e-01,2.506365601299204160e-01,-8.007193314217650368e+03,-2.882000110461718941e+04
6.576423899302545935e+06,-9.703045763753138653e-01,2.261920840777859321e-01,-7.273420921623242975e+03,-2.900091166437588618e+04
6.702893589673749171e+06,-9.761423219173339660e-01,2.016026081511005930e-01,-6.535920303013422199e+03,-2.916301381437232703e+04
6.829363280044952407e+06,-9.813551218786937813e-01,1.768840596098725793e-01,-5.795178824611173695e+03,-2.930625035522366306e+04
6.955832970416154712e+06,-9.859404425271530714e-01,1.520524086230889138e-01,-5.051683539453289995e+03,-2.943057692314619271e+04
7.082302660787357949e+06,-9.898961616718989776e-01,1.271236574561718791e-01,-4.305920843571914702e+03,-2.953596189428115031e+04
7.208772351158560254e+06,-9.932205679641860074e-01,1.021138297432876013e-01,-3.558376139099660122e+03,-2.962238627983725382e+04
7.335242041529763490e+06,-9.959123599161476825e-01,7.703895985209391339e-02,-2.809533504518907648e+03,-2.968984361245946275e+04
7.461711731900965795e+06,-9.979706446439071676e-01,5.191508234817580197e-02,-2.059875372253701698e+03,-2.973833982423560883e+04
7.588181422272169031e+06,-9.993949363412752973e-01,2.675822156605786942e-02,-1.309882213780116899e+03,-2.976789311675371573e+04
