time,x,y,vx,vy
0.000000000000000000e+00,0.000000000000000000e+00,9.832899999999999974e-01,-3.029090109819997087e+04,0.000000000000000000e+00
1.262419993903384784e+04,-2.556136150948738403e-03,9.832867321660929694e-01,-3.029080043041305908e+04,-7.744929111991984882e+01
2.524839987806769568e+04,-5.112255311944705755e-03,9.832769286871813064e-01,-3.029049842782207270e+04,-1.548980416505823996e+02
3.787259981710154534e+04,-7.668340493131570353e-03,9.832605896316930494e-01,-3.028999509273629155e+04,-2.323457110001607475e+02
5.049679975613539136e+04,-1.022437470497902616e-02,9.832377151136733051e-01,-3.028929042900432250e+04,-3.097917585955067352e+02
6.312099969516923738e+04,-1.278034099682926091e-02,9.832083052878385354e-01,-3.028838444153146702e+04,-3.872356483853278633e+02
7.574519963420309068e+04,-1.533622242373693101e-02,9.831723603532787070e-01,-3.028727713665531701e+04,-4.646768453299987982e+02
8.836939957323693670e+04,-1.789200197626579156e-02,9.831298805628029269e-01,-3.028596852305348148e+04,-5.421148069569886729e+02
1.009935995122707827e+05,-2.044766264772416436e-02,9.830808662147473287e-01,-3.028445861093490385e+04,-6.195489909172788430e+02
1.136177994513046287e+05,-2.300318743479391748e-02,9.830253176528961356e-01,-3.028274741203214944e+04,-6.969788550574572810e+02
1.262419993903384748e+05,-2.555855933753049120e-02,9.829632352664821049e-01,-3.028083493960139094e+04,-7.744038574197179514e+02
1.388661993293723208e+05,-2.811376135936286685e-02,9.828946194901858613e-01,-3.027872120842241929e+04,-8.518234562418612086e+02
1.514903992684061814e+05,-3.066877650709358763e-02,9.828194708041367855e-01,-3.027640623479863643e+04,-9.292371099572936828e+02
1.641145992074400128e+05,-3.322358779089876202e-02,9.827377897339126811e-01,-3.027389003655705892e+04,-1.006644277195028394e+03
1.767387991464738734e+05,-3.577817822432804995e-02,9.826495768505394413e-01,-3.027117263304831795e+04,-1.084044416779684525e+03
1.893629990855077049e+05,-3.833253082430466280e-02,9.825548327704910490e-01,-3.026825404514665570e+04,-1.161436987731487534e+03
2.019871990245415654e+05,-4.088662861112537378e-02,9.824535581556903541e-01,-3.026513429524993626e+04,-1.238821449266269610e+03
2.146113989635754260e+05,-4.344045460846052142e-02,9.823457537135081852e-01,-3.026181340727962743e+04,-1.316197260795468310e+03
2.272355989026092575e+05,-4.599399184335397489e-02,9.822314201967641267e-01,-3.025829140668081527e+04,-1.393563881926128488e+03
2.398597988416431181e+05,-4.854722334622320334e-02,9.821105584037251868e-01,-3.025456832042220412e+04,-1.470920772460900480e+03
2.524839987806769495e+05,-5.110013215085918575e-02,9.819831691781075733e-01,-3.025064417699610931e+04,-1.548267392398041238e+03
2.651081987197108101e+05,-5.365270129442649416e-02,9.818492534090755841e-01,-3.024651900641845350e+04,-1.625603201931414105e+03
2.777323986587446416e+05,-5.620491381746323817e-02,9.817088120312416066e-01,-3.024219284022878492e+04,-1.702927661450488813e+03
2.903565985977784730e+05,-5.875675276388109963e-02,9.815618460246666732e-01,-3.023766571149025549e+04,-1.780240231540341028e+03
3.029807985368123627e+05,-6.130820118096529103e-02,9.814083564148600169e-01,-3.023293765478963905e+04,-1.857540372981653263e+03
3.156049984758461942e+05,-6.385924211937460404e-02,9.812483442727789607e-01,-3.022800870623732044e+04,-1.934827546750713282e+03
3.282291984148800257e+05,-6.640985863314141646e-02,9.810818107148295830e-01,-3.022287890346729546e+04,-2.012101214019416147e+03
3.408533983539139153e+05,-6.896003377967156733e-02,9.809087569028662745e-01,-3.021754828563717456e+04,-2.089360836155263314e+03
3.534775982929477468e+05,-7.150975061974454428e-02,9.807291840441910713e-01,-3.021201689342818645e+04,-2.166605874721361033e+03
3.661017982319815783e+05,-7.405899221751338635e-02,9.805430933915553204e-01,-3.020628476904517447e+04,-2.243835791476423765e+03
3.787259981710154098e+05,-7.660774164050460078e-02,9.803504862431580147e-01,-3.020035195621658931e+04,-2.321050048374770995e+03
3.913501981100492994e+05,-7.915598195961838501e-02,9.801513639426466806e-01,-3.019421850019449630e+04,-2.398248107566329963e+03
4.039743980490831309e+05,-8.170369624912839079e-02,9.799457278791172676e-01,-3.018788444775458265e+04,-2.475429431396631117e+03
4.165985979881169624e+05,-8.425086758668186293e-02,9.797335794871137038e-01,-3.018134984719614295e+04,-2.552593482406813564e+03
4.292227979271508520e+05,-8.679747905329961155e-02,9.795149202466287841e-01,-3.017461474834208639e+04,-2.629739723333624625e+03
4.418469978661846835e+05,-8.934351373337598434e-02,9.792897516831031712e-01,-3.016767920253893317e+04,-2.706867617109413459e+03
4.544711978052185150e+05,-9.188895471467886655e-02,9.790580753674261727e-01,-3.016054326265682903e+04,-2.783976626862137437e+03
4.670953977442523465e+05,-9.443378508834979201e-02,9.788198929159351858e-01,-3.015320698308951978e+04,-2.861066215915361681e+03
4.797195976832862361e+05,-9.697798794890374885e-02,9.785752059904159195e-01,-3.014567041975437678e+04,-2.938135847788256797e+03
4.923437976223200676e+05,-9.952154639422930438e-02,9.783240162981027277e-01,-3.013793363009237146e+04,-3.015184986195597048e+03
5.049679975613538991e+05,-1.020644435255886190e-01,9.780663255916780541e-01,-3.012999667306810443e+04,-3.092213095047768093e+03
5.175921975003877888e+05,-1.046066624476174045e-01,9.778021356692727650e-01,-3.012185960916978365e+04,-3.169219638450756975e+03
5.302163974394216202e+05,-1.071481947981125227e-01,9.775314375033000713e-01,-3.011352313426329056e+04,-3.246204394928476177e+03
5.428405973784554517e+05,-1.096890352340079422e-01,9.772542180302133952e-01,-3.010498817714742108e+04,-3.323167263777655080e+03
5.554647973174892832e+05,-1.122291661055043466e-01,9.769704797772081895e-01,-3.009625475741266200e+04,-3.400107696960440080e+03
5.680889972565231146e+05,-1.147685696952970846e-01,9.766802254204616229e-01,-3.008732288996273201e+04,-3.477025143804727577e+03
5.807131971955569461e+05,-1.173072283072053995e-01,9.763834576727365988e-01,-3.007819259158305795e+04,-3.553919054246936867e+03
5.933373971345908940e+05,-1.198451242661724703e-01,9.760801792833824209e-01,-3.006886388094076756e+04,-3.630788878832013324e+03
6.059615970736247255e+05,-1.223822399182653980e-01,9.757703930383337942e-01,-3.005933677858468945e+04,-3.707634068713422948e+03
6.185857970126585569e+05,-1.249185576306751089e-01,9.754541017601117137e-01,-3.004961130694536405e+04,-3.784454075653158725e+03
6.312099969516923884e+05,-1.274540597917165341e-01,9.751313083078233523e-01,-3.003968749033503263e+04,-3.861248352021736082e+03
6.438341968907262199e+05,-1.299887288108284855e-01,9.748020155771612849e-01,-3.002956535494764103e+04,-3.938016350798194708e+03
6.564583968297600513e+05,-1.325225471185736692e-01,9.744662265004044865e-01,-3.001924492885883592e+04,-4.014757525570096732e+03
6.690825967687938828e+05,-1.350554971666386994e-01,9.741239440464178889e-01,-3.000872624202597581e+04,-4.091471330533531727e+03
6.817067967078278307e+05,-1.375875614278341819e-01,9.737751712206523802e-01,-2.999800932628811643e+04,-4.168157220493108980e+03
6.943309966468616622e+05,-1.401187223960944639e-01,9.734199110651442499e-01,-2.998709421536602167e+04,-4.244814650861962946e+03
7.069551965858954936e+05,-1.426489625864779676e-01,9.730581666585167433e-01,-2.997598094486215996e+04,-4.321443077661753705e+03
7.195793965249293251e+05,-1.451782645351669121e-01,9.726899411159782849e-01,-2.996466955226070058e+04,-4.398041957522662415e+03
7.322035964639631566e+05,-1.477066107994675359e-01,9.723152375893234778e-01,-2.995316007692752100e+04,-4.474610747683396767e+03
7.448277964029969880e+05,-1.502339839578098746e-01,9.719340592669333256e-01,-2.994145256011020319e+04,-4.551148905991185529e+03
7.574519963420308195e+05,-1.527603666097479274e-01,9.715464093737737894e-01,-2.992954704493802637e+04,-4.627655890901784915e+03
7.700761962810647674e+05,-1.552857413759596850e-01,9.711522911713980077e-01,-2.991744357642198520e+04,-4.704131161479472212e+03
7.827003962200985989e+05,-1.578100908982468242e-01,9.707517079579444097e-01,-2.990514220145476793e+04,-4.780574177397048516e+03
7.953245961591324303e+05,-1.603333978395351800e-01,9.703446630681371587e-01,-2.989264296881077826e+04,-4.856984398935839636e+03
8.079487960981662618e+05,-1.628556448838743564e-01,9.699311598732869300e-01,-2.987994592914611349e+04,-4.933361286985696097e+03
8.205729960372000933e+05,-1.653768147364379215e-01,9.695112017812902439e-01,-2.986705113499857907e+04,-5.009704303044989501e+03
8.331971959762339247e+05,-1.678968901235233235e-01,9.690847922366292444e-01,-2.985395864078768864e+04,-5.086012909220618894e+03
8.458213959152677562e+05,-1.704158537925518635e-01,9.686519347203724761e-01,-2.984066850281465304e+04,-5.162286568228004398e+03
8.584455958543017041e+05,-1.729336885120689726e-01,9.682126327501743290e-01,-2.982718077926239857e+04,-5.238524743391093580e+03
8.710697957933355356e+05,-1.754503770717437128e-01,9.677668898802748165e-01,-2.981349553019554151e+04,-5.314726898642351443e+03
8.836939957323693670e+05,-1.779659022823691650e-01,9.673147097015003526e-01,-2.979961281756041353e+04,-5.390892498522771348e+03
8.963181956714031985e+05,-1.804802469758624572e-01,9.668560958412631967e-01,-2.978553270518504360e+04,-5.467021008181871366e+03
9.089423956104370300e+05,-1.829933940052644037e-01,9.663910519635613428e-01,-2.977125525877917244e+04,-5.543111893377690649e+03
9.215665955494708614e+05,-1.855053262447398932e-01,9.659195817689791852e-01,-2.975678054593423803e+04,-5.619164620476795790e+03
9.341907954885046929e+05,-1.880160265895776117e-01,9.654416889946867419e-01,-2.974210863612338653e+04,-5.695178656454272641e+03
9.468149954275386408e+05,-1.905254779561903200e-01,9.649573774144399874e-01,-2.972723960070146859e+04,-5.771153468893733589e+03
9.594391953665724723e+05,-1.930336632821144371e-01,9.644666508385810744e-01,-2.971217351290503211e+04,-5.847088525987313915e+03
9.720633953056063037e+05,-1.955405655260104847e-01,9.639695131140381124e-01,-2.969691044785234408e+04,-5.922983296535674526e+03
9.846875952446401352e+05,-1.980461676676628924e-01,9.634659681243249452e-01,-2.968145048254336143e+04,-5.998837249947998316e+03
9.973117951836739667e+05,-2.005504527079798316e-01,9.629560197895414841e-01,-2.966579369585974928e+04,-6.074649856241992893e+03
1.009935995122707798e+06,-2.030534036689936317e-01,9.624396720663738192e-01,-2.964994016856488452e+04,-6.150420586043888761e+03
1.022560195061741630e+06,-2.055550035938603637e-01,9.619169289480937746e-01,-2.963388998330383765e+04,-6.226148910588441140e+03
1.035184395000775578e+06,-2.080552355468600623e-01,9.613877944645589091e-01,-2.961764322460339099e+04,-6.301834301718930874e+03
1.047808594939809409e+06,-2.105540826133965593e-01,9.608522726822134041e-01,-2.960119997887202771e+04,-6.377476231887158065e+03
1.060432794878843240e+06,-2.130515278999978168e-01,9.603103677040870645e-01,-2.958456033439993553e+04,-6.453074174153449349e+03
1.073056994817876955e+06,-2.155475545343154831e-01,9.597620836697953184e-01,-2.956772438135901029e+04,-6.528627602186656077e+03
1.085681194756910903e+06,-2.180421456651253642e-01,9.592074247555401056e-01,-2.955069221180284512e+04,-6.604135990264155225e+03
1.098305394695944851e+06,-2.205352844623268971e-01,9.586463951741091005e-01,-2.953346391966674491e+04,-6.679598813271843028e+03
1.110929594634978566e+06,-2.230269541169435377e-01,9.580789991748757117e-01,-2.951603960076771182e+04,-6.755015546704138615e+03
1.123553794574012514e+06,-2.255171378411228444e-01,9.575052410437998596e-01,-2.949841935280445614e+04,-6.830385666663991287e+03
1.136177994513046229e+06,-2.280058188681359232e-01,9.569251251034270878e-01,-2.948060327535739634e+04,-6.905708649862870516e+03
1.148802194452080177e+06,-2.304929804523781212e-01,9.563386557128885634e-01,-2.946259146988864450e+04,-6.980983973620768666e+03
1.161426394391113892e+06,-2.329786058693684991e-01,9.557458372679021874e-01,-2.944438403974203175e+04,-7.056211115866203727e+03
1.174050594330147840e+06,-2.354626784157502206e-01,9.551466742007713728e-01,-2.942598109014307920e+04,-7.131389555136218405e+03
1.186674794269181788e+06,-2.379451814092900241e-01,9.545411709803853784e-01,-2.940738272819901977e+04,-7.206518770576376482e+03
1.199298994208215503e+06,-2.404260981888788340e-01,9.539293321122198632e-01,-2.938858906289879451e+04,-7.281598241940764638e+03
1.211923194147249451e+06,-2.429054121145314826e-01,9.533111621383358880e-01,-2.936960020511303446e+04,-7.356627449592001540e+03
1.224547394086283166e+06,-2.453831065673864886e-01,9.526866656373812470e-01,-2.935041626759408973e+04,-7.431605874501216931e+03
1.237171594025317114e+06,-2.478591649497066396e-01,9.520558472245886916e-01,-2.933103736497601130e+04,-7.506532998248078002e+03
1.249795793964350829e+06,-2.503335706848782705e-01,9.514187115517778182e-01,-2.931146361377454741e+04,-7.581408303020764833e+03
1.262419993903384777e+06,-2.528063072174118742e-01,9.507752633073539572e-01,-2.929169513238716172e+04,-7.656231271615989499e+03
1.275044193842418725e+06,-2.552773580129417130e-01,9.501255072163080628e-01,-2.927173204109300787e+04,-7.731001387438979691e+03
1.287668393781452440e+06,-2.577467065582260131e-01,9.494694480402174896e-01,-2.925157446205295855e+04,-7.805718134503494184e+03
1.300292593720486388e+06,-2.602143363611469362e-01,9.488070905772453267e-01,-2.923122251930958373e+04,-7.880380997431812830e+03
1.312916793659520103e+06,-2.626802309507104138e-01,9.481384396621403976e-01,-2.921067633878715787e+04,-7.954989461454736556e+03
1.325540993598554051e+06,-2.651443738770465908e-01,9.474635001662383704e-01,-2.918993604829165997e+04,-8.029543012411596465e+03
1.338165193537587766e+06,-2.676067487114091592e-01,9.467822769974597596e-01,-2.916900177751076990e+04,-8.104041136750242003e+03
1.350789393476621713e+06,-2.700673390461760803e-01,9.460947751003115913e-01,-2.914787365801388296e+04,-8.178483321527050975e+03
1.363413593415655661e+06,-2.725261284948488627e-01,9.454009994558870700e-01,-2.912655182325208443e+04,-8.252869054406921350e+03
1.376037793354689376e+06,-2.749831006920531173e-01,9.447009550818652457e-01,-2.910503640855817503e+04,-8.327197823663271265e+03
1.388661993293723324e+06,-2.774382392935383912e-01,9.439946470325104588e-01,-2.908332755114665270e+04,-8.401469118178054487e+03
1.401286193232757039e+06,-2.798915279761781116e-01,9.432820803986742275e-01,-2.906142539011372719e+04,-8.475682427441737673e+03
1.413910393171790987e+06,-2.823429504379695865e-01,9.425632603077928051e-01,-2.903933006643730550e+04,-8.549837241553317654e+03
1.426534593110824702e+06,-2.847924903980340594e-01,9.418381919238895117e-01,-2.901704172297699915e+04,-8.623933051220312336e+03
1.439158793049858650e+06,-2.872401315966166546e-01,9.411068804475727356e-01,-2.899456050447412781e+04,-8.697969347758760705e+03
1.451782992988892598e+06,-2.896858577950865432e-01,9.403693311160372659e-01,-2.897188655755171567e+04,-8.771945623093233735e+03
1.464407192927926313e+06,-2.921296527759364436e-01,9.396255492030638479e-01,-2.894902003071448780e+04,-8.845861369756818021e+03
1.477031392866960261e+06,-2.945715003427833989e-01,9.388755400190191835e-01,-2.892596107434887745e+04,-8.919716080891128513e+03
1.489655592805993976e+06,-2.970113843203681103e-01,9.381193089108560423e-01,-2.890270984072301508e+04,-8.993509250246304873e+03
1.502279792745027924e+06,-2.994492885545554373e-01,9.373568612621128171e-01,-2.887926648398674661e+04,-9.067240372181004204e+03
1.514903992684061639e+06,-3.018851969123336754e-01,9.365882024929138572e-01,-2.885563116017161519e+04,-9.140908941662415600e+03
1.527528192623095587e+06,-3.043190932818157224e-01,9.358133380599700235e-01,-2.883180402719086487e+04,-9.214514454266245593e+03
1.540152392562129535e+06,-3.067509615722378569e-01,9.350322734565778005e-01,-2.880778524483945512e+04,-9.288056406176732708e+03
1.552776592501163250e+06,-3.091807857139602378e-01,9.342450142126195178e-01,-2.878357497479403537e+04,-9.361534294186625630e+03
1.565400792440197198e+06,-3.116085496584672931e-01,9.334515658945636840e-01,-2.875917338061297050e+04,-9.434947615697212314e+03
1.578024992379230913e+06,-3.140342373783671648e-01,9.326519341054647638e-01,-2.873458062773632992e+04,-9.508295868718290876e+03
1.590649192318264861e+06,-3.164578328673919305e-01,9.318461244849628455e-01,-2.870979688348588024e+04,-9.581578551868196882e+03
1.603273392257298576e+06,-3.188793201403974376e-01,9.310341427092843070e-01,-2.868482231706509265e+04,-9.654795164373777880e+03
1.615897592196332524e+06,-3.212986832333636356e-01,9.302159944912415934e-01,-2.865965709955915372e+04,-9.727945206070409768e+03
1.628521792135366471e+06,-3.237159062033944101e-01,9.293916855802329957e-01,-2.863430140393494003e+04,-9.801028177401998619e+03
1.641145992074400187e+06,-3.261309731287174163e-01,9.285612217622426501e-01,-2.860875540504103992e+04,-9.874043579420962487e+03
1.653770192013434134e+06,-3.285438681086841894e-01,9.277246088598406493e-01,-2.858301927960774992e+04,-9.946990913788249600e+03
1.666394391952467849e+06,-3.309545752637703675e-01,9.268818527321832645e-01,-2.855709320624706015e+04,-1.001986968277333290e+04
1.679018591891501797e+06,-3.333630787355753577e-01,9.260329592750127237e-01,-2.853097736545267253e+04,-1.009267938925420822e+04
1.691642791830535512e+06,-3.357693626868223369e-01,9.251779344206568778e-01,-2.850467193959999349e+04,-1.016541953671739248e+04
1.704266991769569460e+06,-3.381734113013588061e-01,9.243167841380299787e-01,-2.847817711294613036e+04,-1.023808962925793094e+04
1.716891191708603408e+06,-3.405752087841558695e-01,9.234495144326316796e-01,-2.845149307162989862e+04,-1.031068917157939359e+04
1.729515391647637123e+06,-3.429747393613085671e-01,9.225761313465485891e-01,-2.842462000367181463e+04,-1.038321766899386421e+04
1.742139591586671071e+06,-3.453719872800358748e-01,9.216966409584520514e-01,-2.839755809897409927e+04,-1.045567462742196221e+04
1.754763791525704786e+06,-3.477669368086807045e-01,9.208110493836003663e-01,-2.837030754932068157e+04,-1.052805955339282627e+04
1.767387991464738734e+06,-3.501595722367099039e-01,9.199193627738371237e-01,-2.834286854837719147e+04,-1.060037195404411978e+04
1.780012191403772449e+06,-3.525498778747140349e-01,9.190215873175924255e-01,-2.831524129169095977e+04,-1.067261133712202354e+04
1.792636391342806397e+06,-3.549378380544079836e-01,9.181177292398821077e-01,-2.828742597669103270e+04,-1.074477721098125403e+04
1.805260591281840345e+06,-3.573234371286300171e-01,9.172077948023077409e-01,-2.825942280268814648e+04,-1.081686908458504331e+04
1.817884791220874060e+06,-3.597066594713427823e-01,9.162917903030571853e-01,-2.823123197087475637e+04,-1.088888646750514636e+04
1.830508991159908008e+06,-3.620874894776326403e-01,9.153697220769040355e-01,-2.820285368432501127e+04,-1.096082886992184831e+04
1.843133191098941723e+06,-3.644659115637096658e-01,9.144415964952081755e-01,-2.817428814799476459e+04,-1.103269580262395175e+04
1.855757391037975671e+06,-3.668419101669082028e-01,9.135074199659152239e-01,-2.814553556872158151e+04,-1.110448677700878943e+04
1.868381590977009386e+06,-3.692154697456863088e-01,9.125671989335566447e-01,-2.811659615522472814e+04,-1.117620130508221337e+04
1.881005790916043334e+06,-3.715865747796260332e-01,9.116209398792501917e-01,-2.808747011810517142e+04,-1.124783889945860210e+04
1.893629990855077282e+06,-3.739552097694330834e-01,9.106686493206991306e-01,-2.805815766984558286e+04,-1.131939907336085162e+04
1.906254190794110997e+06,-3.763213592369374361e-01,9.097103338121932392e-01,-2.802865902481034936e+04,-1.139088134062039171e+04
1.918878390733144945e+06,-3.786850077250927815e-01,9.087459999446079184e-01,-2.799897439924554419e+04,-1.146228521567716962e+04
1.931502590672178660e+06,-3.810461397979768572e-01,9.077756543454046367e-01,-2.796910401127895966e+04,-1.153361021357965365e+04
1.944126790611212607e+06,-3.834047400407911144e-01,9.067993036786307082e-01,-2.793904808092008534e+04,-1.160485584998485137e+04
1.956750990550246323e+06,-3.857607930598609403e-01,9.058169546449196252e-01,-2.790880683006011532e+04,-1.167602164115827327e+04
1.969375190489280270e+06,-3.881142834826358801e-01,9.048286139814907258e-01,-2.787838048247195184e+04,-1.174710710397396542e+04
1.981999390428314218e+06,-3.904651959576891374e-01,9.038342884621491935e-01,-2.784776926381019803e+04,-1.181811175591449864e+04
1.994623590367347933e+06,-3.928135151547177961e-01,9.028339848972862791e-01,-2.781697340161116517e+04,-1.188903511507095754e+04
2.007247790306381881e+06,-3.951592257645430983e-01,9.018277101338794122e-01,-2.778599312529285817e+04,-1.195987670014296964e+04
2.019871990245415596e+06,-3.975023124991099444e-01,9.008154710554917566e-01,-2.775482866615500461e+04,-1.203063603043866169e+04
2.032496190184449544e+06,-3.998427600914874480e-01,8.997972745822724328e-01,-2.772348025737901844e+04,-1.210131262587470701e+04
2.045120390123483259e+06,-4.021805532958682150e-01,8.987731276709565176e-01,-2.769194813402802902e+04,-1.217190600697629270e+04
2.057744590062517207e+06,-4.045156768875690090e-01,8.977430373148651555e-01,-2.766023253304686659e+04,-1.224241569487711968e+04
2.070368790001551155e+06,-4.068481156630306406e-01,8.967070105439055583e-01,-2.762833369326206230e+04,-1.231284121131943175e+04
2.082992989940584870e+06,-4.091778544398175788e-01,8.956650544245705614e-01,-2.759625185538185906e+04,-1.238318207865398290e+04
2.095617189879618818e+06,-4.115048780566182285e-01,8.946171760599392897e-01,-2.756398726199619705e+04,-1.245343781984005909e+04
2.108241389818652533e+06,-4.138291713732450416e-01,8.935633825896767135e-01,-2.753154015757672823e+04,-1.252360795844546737e+04
2.120865589757686481e+06,-4.161507192706344060e-01,8.925036811900335376e-01,-2.749891078847679819e+04,-1.259369201864653951e+04
2.133489789696720429e+06,-4.184695066508463124e-01,8.914380790738470894e-01,-2.746609940293146428e+04,-1.266368952522812469e+04
2.146113989635753911e+06,-4.207855184370648538e-01,8.903665834905398757e-01,-2.743310625105749205e+04,-1.273360000358360048e+04
2.158738189574787859e+06,-4.230987395735983370e-01,8.892892017261209148e-01,-2.739993158485334061e+04,-1.280342297971487278e+04
2.171362389513821807e+06,-4.254091550258785048e-01,8.882059411031849594e-01,-2.736657565819918455e+04,-1.287315798023236493e+04
2.183986589452855755e+06,-4.277167497804612584e-01,8.871168089809127189e-01,-2.733303872685688839e+04,-1.294280453235503592e+04
2.196610789391889703e+06,-4.300215088450263234e-01,8.860218127550709699e-01,-2.729932104847003939e+04,-1.301236216391034031e+04
